date, value
1999/1/4,1.1825
1999/1/5,1.1774
1999/1/6,1.1622
1999/1/7,1.1706
1999/1/8,1.1577
1999/1/11,1.1498
1999/1/12,1.1564
1999/1/13,1.1663
1999/1/14,1.17
1999/1/15,1.1553
1999/1/19,1.1605
1999/1/20,1.1557
1999/1/21,1.1591
1999/1/22,1.1585
1999/1/25,1.1549
1999/1/26,1.156
1999/1/27,1.1423
1999/1/28,1.1412
1999/1/29,1.1357
1999/2/1,1.1298
1999/2/2,1.1339
1999/2/3,1.13
1999/2/4,1.1328
1999/2/5,1.1259
1999/2/8,1.1324
1999/2/9,1.1303
1999/2/10,1.1326
1999/2/11,1.1233
1999/2/12,1.1275
1999/2/16,1.1205
1999/2/17,1.1245
1999/2/18,1.12
1999/2/19,1.1076
1999/2/22,1.103
1999/2/23,1.101
1999/2/24,1.1
1999/2/25,1.104
1999/2/26,1.1026
1999/3/1,1.0885
1999/3/2,1.0933
1999/3/3,1.0889
1999/3/4,1.0807
1999/3/5,1.0825
1999/3/8,1.0883
1999/3/9,1.0885
1999/3/10,1.0946
1999/3/11,1.103
1999/3/12,1.0907
1999/3/15,1.0933
1999/3/16,1.0996
1999/3/17,1.0994
1999/3/18,1.0966
1999/3/19,1.0893
1999/3/22,1.0911
1999/3/23,1.0911
1999/3/24,1.0888
1999/3/25,1.0841
1999/3/26,1.0765
1999/3/29,1.073
1999/3/30,1.0713
1999/3/31,1.0766
1999/4/1,1.078
1999/4/5,1.0713
1999/4/6,1.0835
1999/4/7,1.0773
1999/4/8,1.0743
1999/4/9,1.0791
1999/4/12,1.0813
1999/4/13,1.0769
1999/4/14,1.08
1999/4/15,1.0703
1999/4/16,1.07
1999/4/19,1.0658
1999/4/20,1.0631
1999/4/21,1.061
1999/4/22,1.0642
1999/4/23,1.0613
1999/4/26,1.0585
1999/4/27,1.0664
1999/4/28,1.0633
1999/4/29,1.0587
1999/4/30,1.058
1999/5/3,1.0571
1999/5/4,1.0623
1999/5/5,1.0755
1999/5/6,1.0799
1999/5/7,1.0756
1999/5/10,1.0785
1999/5/11,1.0714
1999/5/12,1.065
1999/5/13,1.0661
1999/5/14,1.0661
1999/5/17,1.0669
1999/5/18,1.0672
1999/5/19,1.0661
1999/5/20,1.0623
1999/5/21,1.0575
1999/5/24,1.0594
1999/5/25,1.0603
1999/5/26,1.044
1999/5/27,1.0432
1999/5/28,1.041
1999/6/1,1.0452
1999/6/2,1.0355
1999/6/3,1.0324
1999/6/4,1.0372
1999/6/7,1.0288
1999/6/8,1.046
1999/6/9,1.047
1999/6/10,1.0479
1999/6/11,1.0535
1999/6/14,1.0421
1999/6/15,1.0426
1999/6/16,1.0298
1999/6/17,1.0335
1999/6/18,1.0388
1999/6/21,1.0348
1999/6/22,1.0323
1999/6/23,1.033
1999/6/24,1.0421
1999/6/25,1.043
1999/6/28,1.0349
1999/6/29,1.0328
1999/6/30,1.0338
1999/7/1,1.0233
1999/7/2,1.0255
1999/7/6,1.0236
1999/7/7,1.0215
1999/7/8,1.0217
1999/7/9,1.0176
1999/7/12,1.0145
1999/7/13,1.0165
1999/7/14,1.0204
1999/7/15,1.0191
1999/7/16,1.0196
1999/7/19,1.0295
1999/7/20,1.0408
1999/7/21,1.0537
1999/7/22,1.0514
1999/7/23,1.0495
1999/7/26,1.065
1999/7/27,1.0621
1999/7/28,1.0665
1999/7/29,1.0724
1999/7/30,1.0697
1999/8/2,1.0693
1999/8/3,1.0682
1999/8/4,1.0772
1999/8/5,1.0754
1999/8/6,1.0745
1999/8/9,1.0715
1999/8/10,1.0707
1999/8/11,1.0652
1999/8/12,1.0668
1999/8/13,1.0568
1999/8/16,1.058
1999/8/17,1.0512
1999/8/18,1.0519
1999/8/19,1.0638
1999/8/20,1.0665
1999/8/23,1.0493
1999/8/24,1.0531
1999/8/25,1.0416
1999/8/26,1.0435
1999/8/27,1.0457
1999/8/30,1.0466
1999/8/31,1.0573
1999/9/1,1.0586
1999/9/2,1.0679
1999/9/3,1.0613
1999/9/7,1.0586
1999/9/8,1.0592
1999/9/9,1.0541
1999/9/10,1.0363
1999/9/13,1.0417
1999/9/14,1.0352
1999/9/15,1.0392
1999/9/16,1.0378
1999/9/17,1.0408
1999/9/20,1.0352
1999/9/21,1.0488
1999/9/22,1.0436
1999/9/23,1.0485
1999/9/24,1.0442
1999/9/27,1.0469
1999/9/28,1.053
1999/9/29,1.0644
1999/9/30,1.0695
1999/10/1,1.0724
1999/10/4,1.0737
1999/10/5,1.0734
1999/10/6,1.0689
1999/10/7,1.0714
1999/10/8,1.063
1999/10/11,1.0643
1999/10/12,1.0759
1999/10/13,1.0802
1999/10/14,1.0785
1999/10/15,1.0887
1999/10/18,1.083
1999/10/19,1.0832
1999/10/20,1.0739
1999/10/21,1.0806
1999/10/22,1.0684
1999/10/25,1.0667
1999/10/26,1.0587
1999/10/27,1.0505
1999/10/28,1.0512
1999/10/29,1.0541
1999/11/1,1.0503
1999/11/2,1.0518
1999/11/3,1.0484
1999/11/4,1.0372
1999/11/5,1.0419
1999/11/8,1.0384
1999/11/9,1.0402
1999/11/10,1.0442
1999/11/11,1.0412
1999/11/12,1.0315
1999/11/15,1.033
1999/11/16,1.0309
1999/11/17,1.0407
1999/11/18,1.0294
1999/11/19,1.0304
1999/11/22,1.0315
1999/11/23,1.0279
1999/11/24,1.0188
1999/11/26,1.0162
1999/11/29,1.0095
1999/11/30,1.0089
1999/12/1,1.0081
1999/12/2,1.0012
1999/12/3,1.002
1999/12/6,1.0224
1999/12/7,1.0255
1999/12/8,1.0276
1999/12/9,1.0206
1999/12/10,1.0125
1999/12/13,1.0138
1999/12/14,1.0055
1999/12/15,1.0063
1999/12/16,1.0162
1999/12/17,1.0086
1999/12/20,1.0137
1999/12/21,1.0098
1999/12/22,1.0087
1999/12/23,1.0153
1999/12/27,1.0121
1999/12/28,1.0066
1999/12/29,1.004
1999/12/30,1.0066
1999/12/31,1.0088
2000/1/3,1.0088
2000/1/4,1.0301
2000/1/5,1.0315
2000/1/6,1.0315
2000/1/7,1.0296
2000/1/10,1.0254
2000/1/11,1.0331
2000/1/12,1.0308
2000/1/13,1.0252
2000/1/14,1.0142
2000/1/18,1.0135
2000/1/19,1.0125
2000/1/20,1.0175
2000/1/21,1.0085
2000/1/24,1.007
2000/1/25,1.0009
2000/1/26,1.0014
2000/1/27,0.9882
2000/1/28,0.9769
2000/1/31,0.9688
2000/2/1,0.9721
2000/2/2,0.9765
2000/2/3,0.99
2000/2/4,0.9821
2000/2/7,0.98
2000/2/8,0.986
2000/2/9,0.9927
2000/2/10,0.9851
2000/2/11,0.9866
2000/2/14,0.98
2000/2/15,0.981
2000/2/16,0.9865
2000/2/17,0.988
2000/2/18,0.9848
2000/2/22,1.0037
