Date,Address
01-Jul-15,309193
02-Jul-15,316488
03-Jul-15,301162
04-Jul-15,377347
05-Jul-15,307720
06-Jul-15,342128
07-Jul-15,324880
08-Jul-15,323601
09-Jul-15,327766
10-Jul-15,322375
11-Jul-15,319744
12-Jul-15,319701
13-Jul-15,296403
14-Jul-15,285095
15-Jul-15,275284
16-Jul-15,275653
17-Jul-15,253340
18-Jul-15,257392
19-Jul-15,290314
20-Jul-15,284027
21-Jul-15,306249
22-Jul-15,295223
23-Jul-15,256642
24-Jul-15,273643
25-Jul-15,243986
26-Jul-15,298836
27-Jul-15,285200
28-Jul-15,298291
29-Jul-15,321419
30-Jul-15,276124
31-Jul-15,303868
01-Aug-15,298805
02-Aug-15,298371
03-Aug-15,298021
04-Aug-15,293112
05-Aug-15,316578
06-Aug-15,295691
07-Aug-15,272880
08-Aug-15,273178
09-Aug-15,268041
10-Aug-15,292852
11-Aug-15,269443
12-Aug-15,277812
13-Aug-15,276354
14-Aug-15,272462
15-Aug-15,268286
16-Aug-15,279628
17-Aug-15,283850
18-Aug-15,302537
19-Aug-15,288421
20-Aug-15,277371
21-Aug-15,282522
22-Aug-15,297783
23-Aug-15,288022
24-Aug-15,307879
25-Aug-15,288411
26-Aug-15,285266
27-Aug-15,277794
28-Aug-15,297477
29-Aug-15,287960
30-Aug-15,284866
31-Aug-15,304796
01-Sep-15,307795
02-Sep-15,290567
03-Sep-15,303103
04-Sep-15,265574
05-Sep-15,318521
06-Sep-15,294414
07-Sep-15,317821
08-Sep-15,334615
09-Sep-15,303151
10-Sep-15,286880
11-Sep-15,317309
12-Sep-15,274687
13-Sep-15,322602
14-Sep-15,307697
15-Sep-15,326856
16-Sep-15,299221
17-Sep-15,316949
18-Sep-15,314363
19-Sep-15,271138
20-Sep-15,341423
21-Sep-15,350680
22-Sep-15,355943
23-Sep-15,294921
24-Sep-15,295738
25-Sep-15,295114
26-Sep-15,310240
27-Sep-15,326824
28-Sep-15,302930
29-Sep-15,353417
30-Sep-15,329484
01-Oct-15,298058
02-Oct-15,311843
03-Oct-15,259753
04-Oct-15,306296
05-Oct-15,290693
06-Oct-15,325572
07-Oct-15,308697
08-Oct-15,314037
09-Oct-15,265620
10-Oct-15,323737
11-Oct-15,294439
12-Oct-15,309767
13-Oct-15,306238
14-Oct-15,309792
15-Oct-15,365671
16-Oct-15,335835
17-Oct-15,370216
18-Oct-15,334791
19-Oct-15,349102
20-Oct-15,400900
21-Oct-15,356706
22-Oct-15,344306
23-Oct-15,370420
24-Oct-15,377017
25-Oct-15,372966
26-Oct-15,375812
27-Oct-15,355490
28-Oct-15,350477
29-Oct-15,382999
30-Oct-15,378895
31-Oct-15,367606
01-Nov-15,392575
02-Nov-15,397127
03-Nov-15,448868
04-Nov-15,497257
05-Nov-15,445547
06-Nov-15,431450
07-Nov-15,366087
08-Nov-15,377659
09-Nov-15,418274
10-Nov-15,394737
11-Nov-15,375284
12-Nov-15,370346
13-Nov-15,358038
14-Nov-15,386718
15-Nov-15,418112
16-Nov-15,402214
17-Nov-15,380647
18-Nov-15,413132
19-Nov-15,357979
20-Nov-15,358006
21-Nov-15,374521
22-Nov-15,376446
23-Nov-15,342182
24-Nov-15,384100
25-Nov-15,364227
26-Nov-15,387024
27-Nov-15,359600
28-Nov-15,414002
29-Nov-15,321393
30-Nov-15,489674
01-Dec-15,413030
02-Dec-15,427478
03-Dec-15,361065
04-Dec-15,418070
05-Dec-15,456577
06-Dec-15,430043
07-Dec-15,435598
08-Dec-15,455232
09-Dec-15,490303
10-Dec-15,493281
11-Dec-15,460519
12-Dec-15,531936
13-Dec-15,478113
14-Dec-15,528953
15-Dec-15,494618
16-Dec-15,483265
17-Dec-15,457030
18-Dec-15,452097
19-Dec-15,505082
20-Dec-15,474385
21-Dec-15,502101
22-Dec-15,486000
23-Dec-15,472140
24-Dec-15,448474
25-Dec-15,377620
26-Dec-15,419932
27-Dec-15,406454
28-Dec-15,411519
29-Dec-15,415368
30-Dec-15,405574
31-Dec-15,355266
01-Jan-16,316727
02-Jan-16,419640
03-Jan-16,394144
04-Jan-16,418266
05-Jan-16,435329
06-Jan-16,379421
07-Jan-16,430305
08-Jan-16,413787
09-Jan-16,450627
10-Jan-16,432753
11-Jan-16,448116
12-Jan-16,456763
13-Jan-16,425792
14-Jan-16,427601
15-Jan-16,415708
16-Jan-16,501450
17-Jan-16,536461
18-Jan-16,472936
19-Jan-16,419190
20-Jan-16,625563
21-Jan-16,516771
22-Jan-16,501601
23-Jan-16,473146
24-Jan-16,487622
25-Jan-16,517175
26-Jan-16,533783
27-Jan-16,529075
28-Jan-16,522089
29-Jan-16,531737
30-Jan-16,497567
31-Jan-16,480130
01-Feb-16,600635
02-Feb-16,688829
03-Feb-16,543129
04-Feb-16,463870
05-Feb-16,505481
06-Feb-16,484673
07-Feb-16,525262
08-Feb-16,473992
09-Feb-16,507109
10-Feb-16,496638
11-Feb-16,497789
12-Feb-16,471892
13-Feb-16,445520
14-Feb-16,494551
15-Feb-16,498274
16-Feb-16,479779
17-Feb-16,539728
18-Feb-16,495715
19-Feb-16,510057
20-Feb-16,500214
21-Feb-16,522170
22-Feb-16,538813
23-Feb-16,546376
24-Feb-16,468940
