Date,Block_size
2014-04-10 00:00:00 UTC,254416
2014-04-11 00:00:00 UTC,223738
2014-04-12 00:00:00 UTC,170046
2014-04-13 00:00:00 UTC,162342
2014-04-14 00:00:00 UTC,216130
2014-04-15 00:00:00 UTC,241621
2014-04-16 00:00:00 UTC,271066
2014-04-17 00:00:00 UTC,223713
2014-04-18 00:00:00 UTC,205560
2014-04-19 00:00:00 UTC,193319
2014-04-20 00:00:00 UTC,169593
2014-04-21 00:00:00 UTC,190698
2014-04-22 00:00:00 UTC,288123
2014-04-23 00:00:00 UTC,242035
2014-04-24 00:00:00 UTC,279837
2014-04-25 00:00:00 UTC,226679
2014-04-26 00:00:00 UTC,180043
2014-04-27 00:00:00 UTC,181006
2014-04-28 00:00:00 UTC,238974
2014-04-29 00:00:00 UTC,227227
2014-04-30 00:00:00 UTC,270333
2014-05-01 00:00:00 UTC,191979
2014-05-02 00:00:00 UTC,211548
2014-05-03 00:00:00 UTC,203527
2014-05-04 00:00:00 UTC,201563
2014-05-05 00:00:00 UTC,299040
2014-05-06 00:00:00 UTC,219220
2014-05-07 00:00:00 UTC,244229
2014-05-08 00:00:00 UTC,231275
2014-05-09 00:00:00 UTC,217088
2014-05-10 00:00:00 UTC,170755
2014-05-11 00:00:00 UTC,217980
2014-05-12 00:00:00 UTC,256592
2014-05-13 00:00:00 UTC,231819
2014-05-14 00:00:00 UTC,263312
2014-05-15 00:00:00 UTC,247334
2014-05-16 00:00:00 UTC,210023
2014-05-17 00:00:00 UTC,189017
2014-05-18 00:00:00 UTC,185464
2014-05-19 00:00:00 UTC,240639
2014-05-20 00:00:00 UTC,248944
2014-05-21 00:00:00 UTC,236798
2014-05-22 00:00:00 UTC,244775
2014-05-23 00:00:00 UTC,251025
2014-05-24 00:00:00 UTC,192924
2014-05-25 00:00:00 UTC,219349
2014-05-26 00:00:00 UTC,249870
2014-05-27 00:00:00 UTC,296761
2014-05-28 00:00:00 UTC,249081
2014-05-29 00:00:00 UTC,271798
2014-05-30 00:00:00 UTC,220130
2014-05-31 00:00:00 UTC,208396
2014-06-01 00:00:00 UTC,205034
2014-06-02 00:00:00 UTC,199627
2014-06-03 00:00:00 UTC,234822
2014-06-04 00:00:00 UTC,204431
2014-06-05 00:00:00 UTC,262958
2014-06-06 00:00:00 UTC,273251
2014-06-07 00:00:00 UTC,184430
2014-06-08 00:00:00 UTC,228370
