DATE,CLOSING,OPEN,HIGH,LOW
3/31/2019 ,1292.88,1292.88,1292.88,1292.88
3/29/2019,1292.88,1291.15,1299.70,1287.20
3/28/2019,1291.20,1309.33,1312.33,1288.75
3/27/2019,1309.78,1316.73,1319.33,1308.43
3/26/2019,1316.38,1321.98,1323.28,1312.93
3/25/2019,1322.23,1312.33,1327.88,1311.13
3/24/2019,1313.08,1313.23,1314.03,1312.63
3/22/2019,1313.23,1309.33,1314.83,1307.13
3/21/2019,1309.53,1314.33,1320.43,1300.83
3/20/2019,1314.13,1306.78,1316.88,1299.63
3/19/2019,1306.73,1303.53,1310.98,1302.63
3/18/2019,1303.53,1302.33,1306.58,1298.53
3/17/2019,1302.13,1301.38,1302.93,1301.38
3/15/2019,1301.38,1296.33,1306.33,1294.23
3/14/2019,1296.53,1309.93,1310.48,1293.58
3/13/2019,1309.83,1301.03,1313.38,1301.03
3/12/2019,1301.08,1293.23,1307.88,1292.23
3/11/2019,1293.23,1297.03,1299.13,1290.68
3/10/2019,1296.68,1299.28,1299.28,1296.33
3/08/2019,1299.28,1285.93,1300.73,1285.33
3/07/2019,1280.13,1286.88,1288.83,1280.13
3/06/2019,1286.58,1287.48,1290.83,1283.83
3/05/2019,1287.78,1287.08,1289.53,1281.83
3/04/2019,1291.88,1295.58,1297.08,1283.33
3/03/2019,1292.78,1292.78,1292.78,1292.78
3/01/2019,1292.78,1314.48,1315.13,1290.38
2/28/2019,1313.58,1320.18,1327.13,1312.83
2/27/2019,1319.98,1329.28,1329.93,1317.13
2/26/2019,1328.93,1327.48,1330.23,1323.73
2/25/2019,1326.73,1327.78,1332.48,1325.73
2/24/2019,1327.63,1327.63,1327.63,1327.63
2/22/2019,1327.63,1324.48,1333.03,1322.08
2/21/2019,1323.28,1339.23,1341.28,1322.73
2/20/2019,1336.73,1340.13,1346.73,1336.73
2/19/2019,1322.63,1326.35,1341.73,1322.63
2/18/2019,1336.88,1321.63,1336.88,1320.83
2/17/2019,1323.38,1323.38,1323.38,1323.38
