Date,mine_a_block_min
2014-04-10 00:00:00 UTC,9.28
2014-04-11 00:00:00 UTC,8.55
2014-04-12 00:00:00 UTC,8.88
2014-04-13 00:00:00 UTC,7.75
2014-04-14 00:00:00 UTC,7.46
2014-04-15 00:00:00 UTC,7.82
2014-04-16 00:00:00 UTC,9.19
2014-04-17 00:00:00 UTC,8.49
2014-04-18 00:00:00 UTC,9.02
2014-04-19 00:00:00 UTC,9.07
2014-04-20 00:00:00 UTC,8.05
2014-04-21 00:00:00 UTC,8.18
2014-04-22 00:00:00 UTC,9.67
2014-04-23 00:00:00 UTC,8.52
2014-04-24 00:00:00 UTC,9.66
2014-04-25 00:00:00 UTC,7.95
2014-04-26 00:00:00 UTC,8.84
2014-04-27 00:00:00 UTC,8.13
2014-04-28 00:00:00 UTC,9.47
2014-04-29 00:00:00 UTC,8.44
2014-04-30 00:00:00 UTC,10.54
2014-05-01 00:00:00 UTC,8.14
2014-05-02 00:00:00 UTC,8.93
2014-05-03 00:00:00 UTC,10.04
2014-05-04 00:00:00 UTC,9.62
2014-05-05 00:00:00 UTC,11.36
2014-05-06 00:00:00 UTC,7.59
2014-05-07 00:00:00 UTC,9.02
2014-05-08 00:00:00 UTC,8.64
2014-05-09 00:00:00 UTC,8.5
2014-05-10 00:00:00 UTC,8.05
2014-05-11 00:00:00 UTC,9.2
2014-05-12 00:00:00 UTC,9.01
2014-05-13 00:00:00 UTC,8.89
2014-05-14 00:00:00 UTC,9.59
2014-05-15 00:00:00 UTC,8.45
2014-05-16 00:00:00 UTC,7.95
2014-05-17 00:00:00 UTC,8.31
2014-05-18 00:00:00 UTC,8.36
2014-05-19 00:00:00 UTC,8.57
2014-05-20 00:00:00 UTC,8.14
2014-05-21 00:00:00 UTC,8.07
2014-05-22 00:00:00 UTC,8.54
2014-05-23 00:00:00 UTC,8.75
2014-05-24 00:00:00 UTC,9.28
2014-05-25 00:00:00 UTC,8.96
2014-05-26 00:00:00 UTC,9.13
2014-05-27 00:00:00 UTC,10.63
2014-05-28 00:00:00 UTC,8.48
2014-05-29 00:00:00 UTC,10.27
2014-05-30 00:00:00 UTC,8.59
2014-05-31 00:00:00 UTC,9.78
2014-06-01 00:00:00 UTC,8.24
2014-06-02 00:00:00 UTC,7.48
2014-06-03 00:00:00 UTC,8.07
2014-06-04 00:00:00 UTC,7.98
2014-06-05 00:00:00 UTC,9.38
2014-06-06 00:00:00 UTC,10.47
2014-06-07 00:00:00 UTC,9.22
2014-06-08 00:00:00 UTC,10.66
2014-06-09 00:00:00 UTC,9.24
2014-06-10 00:00:00 UTC,8.53
2014-06-11 00:00:00 UTC,9.97
2014-06-12 00:00:00 UTC,8.37
2014-06-13 00:00:00 UTC,8.83
2014-06-14 00:00:00 UTC,8.1
2014-06-15 00:00:00 UTC,7.45
2014-06-16 00:00:00 UTC,7.7
2014-06-17 00:00:00 UTC,7.91
2014-06-18 00:00:00 UTC,9.09
2014-06-19 00:00:00 UTC,8.65
2014-06-20 00:00:00 UTC,7.68
2014-06-21 00:00:00 UTC,7.77
2014-06-22 00:00:00 UTC,7.89
2014-06-23 00:00:00 UTC,8.29
2014-06-24 00:00:00 UTC,7.71
2014-06-25 00:00:00 UTC,7.66
2014-06-26 00:00:00 UTC,8.41
2014-06-27 00:00:00 UTC,7.34
2014-06-28 00:00:00 UTC,7.93
2014-06-29 00:00:00 UTC,8.78
2014-06-30 00:00:00 UTC,11.24
2014-07-01 00:00:00 UTC,10.76
2014-07-02 00:00:00 UTC,10.64
2014-07-03 00:00:00 UTC,10.38
2014-07-04 00:00:00 UTC,8.62
2014-07-05 00:00:00 UTC,9.54
2014-07-06 00:00:00 UTC,10.12
2014-07-07 00:00:00 UTC,9.54
2014-07-08 00:00:00 UTC,9.64
2014-07-09 00:00:00 UTC,8.72
2014-07-10 00:00:00 UTC,9.67
2014-07-11 00:00:00 UTC,9.25
2014-07-12 00:00:00 UTC,9.14
2014-07-13 00:00:00 UTC,9.03
2014-07-14 00:00:00 UTC,10.6
2014-07-15 00:00:00 UTC,9.11
2014-07-16 00:00:00 UTC,9.97
2014-07-17 00:00:00 UTC,8.37
2014-07-18 00:00:00 UTC,8.41
2014-07-19 00:00:00 UTC,8.14
2014-07-20 00:00:00 UTC,9.27
2014-07-21 00:00:00 UTC,9.22
2014-07-22 00:00:00 UTC,10.17
2014-07-23 00:00:00 UTC,9.92
2014-07-24 00:00:00 UTC,10.08
2014-07-25 00:00:00 UTC,8.84
2014-07-26 00:00:00 UTC,10.56
2014-07-27 00:00:00 UTC,9.49
2014-07-28 00:00:00 UTC,9.68
2014-07-29 00:00:00 UTC,9.55
2014-07-30 00:00:00 UTC,8.44
2014-07-31 00:00:00 UTC,9.39
2014-08-01 00:00:00 UTC,9.13
2014-08-02 00:00:00 UTC,8.76
2014-08-03 00:00:00 UTC,9.32
2014-08-04 00:00:00 UTC,11.4
2014-08-05 00:00:00 UTC,10.33
2014-08-06 00:00:00 UTC,9.09
2014-08-07 00:00:00 UTC,8.91
2014-08-08 00:00:00 UTC,9.13
2014-08-09 00:00:00 UTC,7.9
2014-08-10 00:00:00 UTC,8.17
2014-08-11 00:00:00 UTC,7.92
2014-08-12 00:00:00 UTC,8.29
2014-08-13 00:00:00 UTC,9.92
2014-08-14 00:00:00 UTC,7.91
2014-08-15 00:00:00 UTC,8.83
2014-08-16 00:00:00 UTC,9.05
2014-08-17 00:00:00 UTC,8.52
2014-08-18 00:00:00 UTC,7.28
2014-08-19 00:00:00 UTC,7.71
2014-08-20 00:00:00 UTC,8.56
2014-08-21 00:00:00 UTC,8.73
2014-08-22 00:00:00 UTC,9.16
2014-08-23 00:00:00 UTC,8.86
2014-08-24 00:00:00 UTC,9.87
2014-08-25 00:00:00 UTC,10.53
2014-08-26 00:00:00 UTC,8.28
2014-08-27 00:00:00 UTC,8.57
2014-08-28 00:00:00 UTC,8.26
2014-08-29 00:00:00 UTC,8.51
2014-08-30 00:00:00 UTC,7.93
2014-08-31 00:00:00 UTC,7.62
2014-09-01 00:00:00 UTC,10.6
2014-09-02 00:00:00 UTC,9.84
2014-09-03 00:00:00 UTC,8.45
2014-09-04 00:00:00 UTC,9.17
2014-09-05 00:00:00 UTC,9.89
