Date,Open,High,Low,Close,Volume,Market Cap, 3d MA,9d MA,15d MA
,,,,249.28,,,,,
,,,,249.01,,,,,
,,,,244.61,,,,,
,,,,"245.21	",,,,,
,,,,243.94,,,,,
2015/6/22,243.97,247.92,243.78,246.99,17692500,3532599174,,,
2015/6/23,246.93,247.3,243.13,244.3,15108700,3494929113,,,
2015/6/24,244.28,244.34,240.51,240.51,17344900,3441763637,,,
2015/6/25,240.37,243.33,240.37,242.8,16133100,3475370256,,,
2015/6/26,242.6,243.75,241.55,243.59,13983500,3487699724,,,
2015/6/27,243.55,251.34,243.12,250.99,20488600,3594402691,,,
2015/6/28,250.96,251.17,247.43,249.01,15137600,3566939394,,,
2015/6/29,248.72,257.17,248.58,257.06,34742900,3683193712,,,
2015/6/30,257.04,267.87,255.95,263.07,44533800,3770229522,,,
2015/7/1,263.35,265.17,255.77,258.62,27029800,3707306173,259.5833333,256.79,248.8414286
2015/7/2,258.55,261.63,254.12,255.41,21551900,3662295200,259.0333333,257.5466667,249.2792857
2015/7/3,255.46,257.08,253.51,256.34,19033800,3676575981,256.79,263.0466667,249.8028571
2015/7/4,256.49,261.46,254.2,260.89,15620400,3742827088,257.5466667,267.2766667,250.9657143
2015/7/5,260.8,274.51,258.7,271.91,44156100,3901985539,263.0466667,269.05,252.362
2015/7/6,271.11,277.42,267.6,269.03,49154800,3861831490,267.2766667,268.6766667,254.0346667
2015/7/7,269.96,271.34,264.83,266.21,28857600,3822200106,269.05,268.7433333,255.316
2015/7/8,265.98,272.97,264.39,270.79,36980200,3889020940,268.6766667,274.97,257.082
2015/7/9,270.83,272.33,267.09,269.23,40301200,3867547719,268.7433333,282.41,258.9966667
2015/7/10,269.16,294.59,268.8,284.89,100390000,4093705987,274.97,296.29,261.8026667
2015/7/11,284.88,298.51,283.53,293.11,41109900,4212919911,282.41,298.6766667,265.104
2015/7/12,293.14,314.39,292.51,310.87,56405000,4469117252,296.29,296.7933333,269.096
2015/7/13,310.83,310.95,281.01,292.05,62053900,4199736520,298.6766667,288.4466667,271.9653333
2015/7/14,292.03,296.15,286.64,287.46,28727200,4134767190,296.7933333,283.7933333,273.992
2015/7/15,288.05,293.25,285.37,285.83,27486600,4112343300,288.4466667,281.13,275.5093333
2015/7/16,286.04,291.18,275.24,278.09,49482600,4001916229,283.7933333,277.4866667,276.8073333
2015/7/17,278.09,280.28,272.04,279.47,27591400,4022845730,281.13,275.9933333,278.4113333
2015/7/18,279.33,282.53,274.08,274.9,25187100,3958065833,277.4866667,275.83,279.6486667
2015/7/19,274.77,275.67,272.51,273.61,15332500,3940581988,275.9933333,276.14,280.4966667
2015/7/20,273.5,278.98,272.96,278.98,22711400,4018965413,275.83,277.3433333,280.968
2015/7/21,278.88,280.55,275.42,275.83,22930700,3974491489,276.14,276.3666667,281.4213333
2015/7/22,275.66,277.67,274.38,277.22,19389800,3995572964,277.3433333,280.5166667,282.1553333
2015/7/23,277.34,278.11,275.72,276.05,18531300,3979625902,276.3666667,284.3433333,282.506
2015/7/24,276.01,289.25,275.25,288.28,37199400,4157148934,280.5166667,289.89,283.776
2015/7/25,288.16,290.73,286,288.7,20662200,4164295442,284.3433333,291.67,284.03
2015/7/26,288.64,293.05,287.71,292.69,16032300,4222888242,289.89,293.58,284.002
2015/7/27,292.64,297.77,287.45,293.62,30592000,4237522843,291.67,292.5466667,282.852
2015/7/28,293.63,296.65,293.42,294.43,25453600,4250112630,293.58,290.58,283.0106667
2015/7/29,294.48,294.54,288.78,289.59,24672600,4181390010,292.5466667,287.32,283.1526667
2015/7/30,289.1,290.13,286.57,287.72,21635800,4155381827,290.58,284.6566667,283.2786667
2015/7/31,287.7,288.96,282.34,284.65,23629100,4112089481,287.32,282.9533333,283.716
2015/8/1,284.69,284.93,278.11,281.6,18995000,4069120370,284.6566667,281.8133333,283.858
2015/8/2,280.45,283.03,277.53,282.61,17722200,4084832103,282.9533333,283.02,284.372
2015/8/3,282.81,285.47,280.23,281.23,21474100,4065895598,281.8133333,282.7766667,284.88
2015/8/4,281.23,285.71,281.23,285.22,21908700,4124558889,283.02,281.8933333,285.296
2015/8/5,284.85,285.5,281.49,281.88,20128000,4077254001,282.7766667,280.0133333,285.6993333
2015/8/6,281.91,281.91,278.4,278.58,18792100,4030445072,281.8933333,273.0533333,285.79
2015/8/7,278.74,280.39,276.37,279.58,42484800,4045993359,280.0133333,268.5533333,286.0253333
2015/8/8,279.74,279.93,260.71,261,58533000,3778049024,273.0533333,263.5166667,284.2066667
2015/8/9,261.12,267,260.47,265.08,23789600,3838130130,268.5533333,266.6466667,282.632
2015/8/10,265.48,267.03,262.6,264.47,20979400,3830352069,263.5166667,267.08,280.7506667
2015/8/11,264.34,270.39,264.09,270.39,25433900,3917142819,266.6466667,266.95,279.202
2015/8/12,270.6,270.67,265.47,266.38,26815400,3859888131,267.08,265.38,277.332
2015/8/13,266.18,266.23,262.84,264.08,27685500,3827588724,266.95,263.77,275.6313333
2015/8/14,264.13,267.47,261.48,265.68,27091200,3851715726,265.38,261.9133333,274.162
2015/8/15,265.53,266.67,261.3,261.55,19321100,3792757590,263.77,259.3466667,272.622
2015/8/16,261.87,262.44,257.04,258.51,29717000,3749501856,261.9133333,242.5233333,271.0826667
2015/8/17,258.49,260.51,257.12,257.98,21617900,3742748055,259.3466667,231.9133333,269.4406667
2015/8/18,257.93,257.99,211.08,211.08,42147200,3063104570,242.5233333,224.37,264.764
2015/8/19,225.67,237.41,222.77,226.68,60869200,3290448603,231.9133333,231.5333333,260.8613333
2015/8/20,226.9,237.37,226.9,235.35,32275000,3417123139,224.37,232.77,257.7593333
2015/8/21,235.35,236.43,231.72,232.57,23173800,3377704243,231.5333333,230.3766667,254.692
2015/8/22,232.66,234.96,222.7,230.39,23205900,3346961926,232.77,223.0166667,251.4126667
2015/8/23,230.38,232.71,225.58,228.17,18406600,3315466697,230.3766667,220.09,249.224
2015/8/24,228.11,228.14,210.44,210.49,59220700,3059460627,223.0166667,219.31,245.5846667
2015/8/25,210.07,226.32,199.57,221.61,61089200,3221751642,220.09,224.07,242.7273333
2015/8/26,222.08,231.18,220.2,225.83,31808000,3284040048,219.31,227.3333333,239.7566667
2015/8/27,226.05,228.64,223.68,224.77,21905400,3269360632,224.07,228.65,236.9826667
2015/8/28,224.7,235.22,220.93,231.4,31336600,3366649823,227.3333333,229.98,234.804
2015/8/29,231.55,233.22,227.33,229.78,17142500,3344063019,228.65,229.5333333,232.4106667
2015/8/30,229.9,232.07,226.25,228.76,19412600,3330085315,229.98,228.98,230.2246667
2015/8/31,229.11,231.96,225.91,230.06,20710700,3349845416,229.5333333,229.1533333,228.328
2015/9/1,230.26,231.22,226.86,228.12,20575200,3322548147,228.98,228.1933333,226.3373333
2015/9/2,228.03,230.58,226.48,229.28,18760400,3340404203,229.1533333,228.92,227.5506667
2015/9/3,229.32,229.6,226.67,227.18,17482000,3310618588,228.1933333,230.8333333,227.584
2015/9/4,227.21,230.9,227.05,230.3,20962400,3356910010,228.92,235.0533333,227.2473333
2015/9/5,230.2,236.14,229.44,235.02,20671400,3426594646,230.8333333,238.2366667,227.4106667
2015/9/6,234.87,242.91,234.68,239.84,25473700,3497748612,235.0533333,241.1,228.0406667
2015/9/7,239.93,242.11,238.72,239.85,21192200,3498762116,238.2366667,240.5433333,228.8193333
2015/9/8,239.85,245.78,239.68,243.61,26879200,3554439286,241.1,240.0866667,231.0273333
2015/9/9,243.41,244.42,237.82,238.17,23635700,3475960739,240.5433333,238.92,232.1313333
2015/9/10,238.34,241.29,235.79,238.48,21215500,3481466104,240.0866667,237.94,232.9746667
2015/9/11,238.33,241.17,238.33,240.11,19224700,3506204486,238.92,235.2833333,233.9973333
2015/9/12,239.85,240.12,234.75,235.23,17962600,3435801820,237.94,232.1266667,234.2526667
2015/9/13,235.24,235.93,229.33,230.51,18478800,3367774557,235.2833333,230.4833333,234.3013333
2015/9/14,230.61,232.44,227.96,230.64,20997800,3370579521,232.1266667,230.01,234.4266667
2015/9/15,230.49,259.18,229.82,230.3,19177800,3366532054,230.4833333,229.7333333,234.4426667
2015/9/16,230.25,231.21,227.4,229.09,20144200,3349613966,230.01,230.6266667,234.5073333
2015/9/17,229.08,230.29,228.93,229.81,18935400,3360247349,229.7333333,231.4266667,234.5426667
2015/9/18,233.52,234.35,232.18,232.98,20242200,3408098085,230.6266667,231.8933333,234.9293333
2015/9/19,232.86,233.21,231.09,231.49,12712600,3387141915,231.4266667,229.93,235.0086667
2015/9/20,231.4,232.37,230.91,231.21,14444700,3383764499,231.8933333,229.64,234.7546667
2015/9/21,231.22,231.22,226.52,227.09,19678800,3324121324,229.93,229.33,233.9046667
2015/9/22,226.97,232.39,225.12,230.62,25009300,3376737583,229.64,231.81,233.2893333
2015/9/23,230.94,231.84,229.59,230.28,17254100,3372747846,229.33,233.3166667,232.4006667
2015/9/24,230.36,235.65,230.29,234.53,25097800,3435744312,231.81,234.67,232.158
2015/9/25,234.36,237.43,233.68,235.14,22363600,3445723754,233.3166667,234.08,231.9353333
2015/9/26,235.08,235.4,233.36,234.34,13724100,3434809258,234.67,235.4133333,231.5506667
2015/9/27,234.14,234.53,232.48,232.76,14179900,3412467834,234.08,236.1966667,231.386
2015/9/28,232.84,239.34,232.47,239.14,24713000,3506933730,235.4133333,237.2966667,231.9613333
2015/9/29,239.02,239.8,235.93,236.69,22691300,3471967520,236.1966667,236.7666667,232.3646667
2015/9/30,236.64,237.73,235.63,236.06,19743500,3463625759,237.2966667,236.9666667,232.7486667
2015/10/1,236,238.45,235.62,237.55,20488800,3486370082,236.7666667,237.8566667,233.3126667
2015/10/2,237.26,238.54,236.6,237.29,19677900,3483431578,236.9666667,238.0933333,233.8113333
2015/10/3,237.2,239.32,236.94,238.73,16482700,3505385987,237.8566667,239.1233333,234.1946667
2015/10/4,238.53,238.97,237.94,238.26,12999000,3499387367,238.0933333,241.5666667,234.646
2015/10/5,238.15,240.38,237.04,240.38,23335900,3531508720,239.1233333,243.1366667,235.2573333
2015/10/6,240.36,246.93,240.14,246.06,27535100,3615828118,241.5666667,243.7766667,236.522
2015/10/7,246.17,246.68,242.59,242.97,22999200,3571170510,243.1366667,243.0666667,237.3453333
2015/10/8,243.07,244.25,242.18,242.3,18515300,3562238314,243.7766667,243.7233333,238.1466667
2015/10/9,242.5,244.23,242.12,243.93,17353100,3586932176,243.0666667,245.3066667,238.7733333
2015/10/10,243.74,245.32,243.07,244.94,15912700,3602763687,243.7233333,245.7666667,239.4266667
2015/10/11,244.74,247.24,244.15,247.05,16827300,3634686068,245.3066667,247.29,240.274
2015/10/12,246.88,247.45,245.18,245.31,17388300,3609927997,245.7666667,248.9366667,241.1106667
2015/10/13,245.2,250.24,243.76,249.51,28198500,3672589342,247.29,251.94,241.802
2015/10/14,249.49,254.27,248.9,251.99,27462600,3710065546,248.9366667,256.3933333,242.822
2015/10/15,252.11,255.96,252.05,254.32,25223500,3745440578,251.94,262.61,244.0393333
2015/10/16,254.3,266.14,253.93,262.87,35901500,3872283809,256.3933333,265.05,245.7273333
2015/10/17,262.75,273.58,262.37,270.64,43199600,3987684186,262.61,265.24,247.9506667
2015/10/18,270.91,271.67,260.78,261.64,22434300,3856061829,265.05,264.8466667,249.478
2015/10/19,261.86,264.82,260.95,263.44,25258800,3883581668,265.24,266.39,251.1566667
2015/10/20,263.57,270.83,263.23,269.46,30889800,3973292564,264.8466667,269.9166667,253.0953333
2015/10/21,269.31,270.77,263.84,266.27,25637300,3927192474,266.39,272.2633333,254.4426667
2015/10/22,266.5,276.51,266.14,274.02,37808600,4042524308,269.9166667,277.39,256.5126667
2015/10/23,273.65,278.68,273.54,276.5,29442500,4080023363,272.2633333,280.61,258.7926667
2015/10/24,276.5,281.71,276.5,281.65,25942400,4157184875,277.39,283.5433333,261.3073333
2015/10/25,281.45,294.06,281.45,283.68,45717100,4188180600,280.61,287.59,263.89
2015/10/26,283.63,285.3,280.51,285.3,32108800,4213260473,283.5433333,294.57,266.44
2015/10/27,285.18,296.21,285.01,293.79,46331800,4339689442,287.59,304.09,269.672
2015/10/28,293.7,306.33,293.7,304.62,50808100,4500730950,294.57,315.5,273.346
2015/10/29,304.32,318.17,301.82,313.86,64495900,4638392428,304.09,318.6833333,277.4706667
2015/10/30,313.94,334.17,313.94,328.02,78305000,4849062146,315.5,322.54,282.384
2015/10/31,328.51,332.78,309.25,314.17,48598100,4645486246,318.6833333,333.5966667,285.804
2015/11/1,315.01,327.47,311.88,325.43,37001100,4813287206,322.54,363.3466667,289.4566667
2015/11/2,325.94,365.36,323.21,361.19,101918000,5343556482,333.5966667,392.0566667,296.0933333
2015/11/3,361.87,417.9,357.65,403.42,206162000,5969855535,363.3466667,400.4433333,305.4253333
2015/11/4,403.66,495.56,380.55,411.56,263900000,6092006971,392.0566667,390.7933333,314.8986667
2015/11/5,408.08,447.56,374.58,386.35,151824992,5720251077,400.4433333,382.4333333,322.904
2015/11/6,388.05,395.84,354.02,374.47,122687000,5545657295,390.7933333,378.1066667,329.6006667
2015/11/7,374.27,390.59,372.43,386.48,56625100,5725035162,382.4333333,380.0366667,336.9326667
2015/11/8,384.28,389.89,368.7,373.37,51817600,5532072311,378.1066667,363.4833333,343.0473333
2015/11/9,374.32,385.28,362.89,380.26,68224400,5635560843,380.0366667,342.72,349.486
2015/11/10,379.98,381.39,329.11,336.82,95797904,4993021697,363.4833333,328.6833333,352.9206667
2015/11/11,339.82,340.58,301,311.08,107070000,4612831323,342.72,328.66,354.0733333
2015/11/12,314.08,345.08,313.36,338.15,78477800,5015563456,328.6833333,335.9366667,356.3086667
