date, value
2/4/09,52.61
3/4/09,52.52
6/4/09,51.1
7/4/09,49.13
8/4/09,49.37
9/4/09,52.24
13/4/09,50.22
14/4/09,49.51
15/4/09,49.26
16/4/09,49.97
17/4/09,50.36
20/4/09,45.82
21/4/09,46.65
22/4/09,47.41
23/4/09,48.46
24/4/09,50.65
27/4/09,49.29
28/4/09,49.01
29/4/09,50.19
30/4/09,50.35
1/5/09,52.18
4/5/09,54.45
5/5/09,53.81
6/5/09,56.29
7/5/09,56.67
8/5/09,58.58
11/5/09,57.79
12/5/09,58.81
13/5/09,58
14/5/09,58.58
15/5/09,56.52
18/5/09,58.99
19/5/09,59.52
20/5/09,61.45
21/5/09,60.49
22/5/09,61.15
26/5/09,62.48
27/5/09,63.41
28/5/09,65.09
29/5/09,66.31
1/6/09,68.59
2/6/09,68.58
3/6/09,66.14
4/6/09,68.8
5/6/09,68.43
8/6/09,68.05
9/6/09,70.02
10/6/09,71.38
11/6/09,72.69
12/6/09,72.13
15/6/09,70.54
16/6/09,70.47
17/6/09,71.07
18/6/09,71.42
19/6/09,69.6
22/6/09,67.09
23/6/09,68.81
24/6/09,68.14
25/6/09,69.7
26/6/09,69.16
29/6/09,71.47
30/6/09,69.82
1/7/09,69.32
2/7/09,66.68
6/7/09,64.06
7/7/09,62.88
8/7/09,60.15
9/7/09,60.36
10/7/09,59.93
13/7/09,59.69
14/7/09,59.62
15/7/09,61.49
16/7/09,62.07
17/7/09,63.56
20/7/09,63.93
21/7/09,64.81
22/7/09,64.58
23/7/09,66.1
24/7/09,66.96
27/7/09,68.34
28/7/09,67.24
29/7/09,63.42
30/7/09,66.9
31/7/09,69.26
3/8/09,71.59
4/8/09,71.4
5/8/09,71.97
6/8/09,71.96
7/8/09,70.97
10/8/09,70.59
11/8/09,69.46
12/8/09,70.08
13/8/09,70.57
14/8/09,67.51
17/8/09,66.72
18/8/09,69.22
19/8/09,72.54
20/8/09,72.4
21/8/09,73.12
24/8/09,73.68
25/8/09,71.6
26/8/09,71.38
27/8/09,72.49
28/8/09,72.72
31/8/09,69.97
1/9/09,68.11
2/9/09,68.03
3/9/09,67.9
4/9/09,67.95
8/9/09,71.08
9/9/09,71.27
10/9/09,71.95
11/9/09,69.34
14/9/09,68.86
15/9/09,70.81
16/9/09,72.5
17/9/09,72.48
18/9/09,71.95
21/9/09,69.74
22/9/09,71.5
23/9/09,68.74
24/9/09,65.74
25/9/09,65.91
28/9/09,66.69
29/9/09,66.56
30/9/09,70.46
1/10/09,70.67
2/10/09,69.8
5/10/09,70.26
6/10/09,70.71
7/10/09,69.6
8/10/09,71.69
9/10/09,71.75
12/10/09,73.24
13/10/09,74.1
14/10/09,75.2
15/10/09,77.55
16/10/09,78.54
19/10/09,79.47
20/10/09,78.87
21/10/09,81.03
22/10/09,80.82
23/10/09,80.11
26/10/09,78.61
27/10/09,79.45
28/10/09,77.39
29/10/09,79.84
30/10/09,77.04
2/11/09,78.08
3/11/09,79.58
4/11/09,80.3
5/11/09,79.64
6/11/09,77.4
9/11/09,79.44
10/11/09,79.01
11/11/09,79.16
12/11/09,77.25
13/11/09,76.34
16/11/09,78.91
17/11/09,79.08
18/11/09,79.55
19/11/09,77.47
20/11/09,76.83
23/11/09,76.49
24/11/09,74.88
25/11/09,77.25
27/11/09,75.95
30/11/09,77.19
1/12/09,78.39
2/12/09,76.62
3/12/09,76.42
4/12/09,75.41
7/12/09,73.89
8/12/09,72.59
9/12/09,70.67
10/12/09,70.54
11/12/09,69.86
14/12/09,69.48
15/12/09,70.62
16/12/09,72.64
17/12/09,72.58
18/12/09,73.3
21/12/09,72.71
22/12/09,73.48
23/12/09,76.03
24/12/09,76.83
28/12/09,78.67
29/12/09,78.87
30/12/09,79.35
31/12/09,79.39
4/1/10,81.52
5/1/10,81.74
6/1/10,83.12
7/1/10,82.6
8/1/10,82.74
11/1/10,82.54
12/1/10,80.79
13/1/10,79.66
14/1/10,79.35
15/1/10,77.96
19/1/10,78.98
20/1/10,77.42
21/1/10,75.84
22/1/10,74.25
25/1/10,74.9
26/1/10,74.67
27/1/10,73.64
28/1/10,73.62
29/1/10,72.85
1/2/10,74.41
2/2/10,77.21
3/2/10,76.96
4/2/10,73.13
5/2/10,71.15
8/2/10,71.87
9/2/10,73.71
10/2/10,74.48
11/2/10,75.23
12/2/10,74.11
16/2/10,76.98
17/2/10,77.27
18/2/10,78.97
19/2/10,79.77
22/2/10,80.04
23/2/10,78.61
24/2/10,79.75
25/2/10,77.99
26/2/10,79.72
1/3/10,78.71
2/3/10,79.62
3/3/10,80.91
4/3/10,80.21
5/3/10,81.5
8/3/10,81.85
9/3/10,81.5
10/3/10,82.07
11/3/10,82.1
12/3/10,81.26
15/3/10,79.79
16/3/10,81.75
17/3/10,82.93
18/3/10,82.16
19/3/10,80.58
22/3/10,81.26
23/3/10,81.68
24/3/10,80.29
25/3/10,80.25
26/3/10,79.75
29/3/10,81.92
30/3/10,82.14
31/3/10,83.45
1/4/10,84.53
5/4/10,86.36
6/4/10,86.54
7/4/10,85.64
8/4/10,85.17
9/4/10,84.6
12/4/10,84.07
13/4/10,83.8
14/4/10,85.62
15/4/10,85.25
16/4/10,82.97
19/4/10,81.52
20/4/10,82.98
21/4/10,82.78
22/4/10,82.89
23/4/10,84.34
26/4/10,84.2
27/4/10,82.43
28/4/10,83.22
29/4/10,85.17
30/4/10,86.07
3/5/10,86.19
4/5/10,82.73
5/5/10,80
6/5/10,77.18
7/5/10,75.1
10/5/10,76.89
11/5/10,76.37
12/5/10,75.65
13/5/10,74.38
14/5/10,71.61
17/5/10,70.08
18/5/10,69.38
19/5/10,69.91
20/5/10,68.28
21/5/10,68.03
24/5/10,68.23
25/5/10,64.78
26/5/10,71.52
27/5/10,74.56
28/5/10,74
1/6/10,72.7
2/6/10,72.88
3/6/10,74.62
4/6/10,71.43
7/6/10,71.55
8/6/10,71.88
9/6/10,74.38
10/6/10,75.48
11/6/10,73.89
14/6/10,74.99
15/6/10,76.84
16/6/10,77.67
17/6/10,76.82
18/6/10,77.18
21/6/10,77.84
22/6/10,77.15
23/6/10,75.9
