Date,Bitcoin
2015/7/1,12957
2015/7/2,9802
2015/7/3,8307
2015/7/4,8947
2015/7/5,8692
2015/7/6,10263
2015/7/7,11220
2015/7/8,11147
2015/7/9,9613
2015/7/10,8269
2015/7/11,6960
2015/7/12,7266
2015/7/13,8912
2015/7/14,7770
2015/7/15,7408
2015/7/16,7666
2015/7/17,7071
2015/7/18,6207
2015/7/19,9122
2015/7/20,8820
2015/7/21,8484
2015/7/22,8727
2015/7/23,9252
2015/7/24,7723
2015/7/25,7085
2015/7/26,8297
2015/7/27,9446
2015/7/28,9259
2015/7/29,8886
2015/7/30,8411
2015/7/31,7078
2015/8/1,19155
2015/8/2,13380
2015/8/3,10226
2015/8/4,8776
2015/8/5,8297
2015/8/6,7852
2015/8/7,7736
2015/8/8,6784
2015/8/9,6776
2015/8/10,7722
2015/8/11,7975
2015/8/12,8033
2015/8/13,9529
2015/8/14,7164
2015/8/15,6294
2015/8/16,6528
2015/8/17,7516
2015/8/18,11266
2015/8/19,11741
2015/8/20,10337
2015/8/21,9526
2015/8/22,7411
2015/8/23,8932
2015/8/24,11436
2015/8/25,9503
2015/8/26,10627
2015/8/27,8331
2015/8/28,7371
2015/8/29,8043
2015/8/30,9233
2015/8/31,8710
2015/9/1,9295
2015/9/2,8402
2015/9/3,7967
2015/9/4,6925
2015/9/5,5814
2015/9/6,6183
2015/9/7,7366
2015/9/8,8373
2015/9/9,7966
2015/9/10,8087
2015/9/11,7807
2015/9/12,6732
2015/9/13,6759
2015/9/14,9968
2015/9/15,8844
2015/9/16,8529
2015/9/17,8761
2015/9/18,9291
2015/9/19,7344
2015/9/20,7185
2015/9/21,8482
2015/9/22,9391
2015/9/23,40016
2015/9/24,7567
2015/9/25,9114
2015/9/26,5945
2015/9/27,6308
2015/9/28,7258
2015/9/29,7439
2015/9/30,7521
2015/10/1,6915
2015/10/2,6633
2015/10/3,5799
2015/10/4,6556
2015/10/5,7937
2015/10/6,10580
2015/10/7,9002
2015/10/8,7988
2015/10/9,6977
2015/10/10,5760
2015/10/11,6282
2015/10/12,7768
2015/10/13,7733
2015/10/14,9130
2015/10/15,7470
2015/10/16,6956
2015/10/17,5901
2015/10/18,6319
2015/10/19,8297
2015/10/20,8665
2015/10/21,8204
2015/10/22,8587
2015/10/23,8024
2015/10/24,6160
2015/10/25,6783
2015/10/26,8519
2015/10/27,9033
2015/10/28,9695
2015/10/29,10211
2015/10/30,9029
2015/10/31,6855
2015/11/1,8294
2015/11/2,10020
2015/11/3,11545
2015/11/4,14390
2015/11/5,16294
2015/11/6,11448
2015/11/7,8075
2015/11/8,7956
2015/11/9,11166
2015/11/10,10928
2015/11/11,9358
2015/11/12,9258
2015/11/13,8749
2015/11/14,6794
2015/11/15,7023
2015/11/16,8825
2015/11/17,9949
2015/11/18,9285
2015/11/19,8819
2015/11/20,8254
2015/11/21,7416
2015/11/22,7287
2015/11/23,8246
2015/11/24,7454
2015/11/25,7164
2015/11/26,9513
2015/11/27,7169
2015/11/28,6462
2015/11/29,7059
2015/11/30,9143
2015/12/1,9392
2015/12/2,8799
2015/12/3,8288
2015/12/4,8029
2015/12/5,7077
2015/12/6,7456
2015/12/7,8731
2015/12/8,15178
2015/12/9,63357
2015/12/10,28831
2015/12/11,15030
2015/12/12,10109
2015/12/13,9965
2015/12/14,10789
2015/12/15,13363
