Date,Weighted_bitcoin_price,Volume,bitcoin_sent,Address,generatedCoin,bitcoin_transactions,Mining_Difficulty,mine_a_block_min,Block_size,Weighted_litecoin_price,Volume_litecoin,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,bitcoin_sent_inNum
4/7/15,258.26,103669.6966,336275245,309193,3375,143977,49402014931,10.78,634471,3.99,1782751.88,1173.51,48.69,1.1053,12957,29052,1289745.119
5/7/15,266.48,83719.45772,343719226,316488,3850,141999,49402014931,9.33,476935,4.02,1564293.532,1167.64,48.69,1.1084,9802,27119,1335194.911
6/7/15,271.29,74467.13615,317947971,301162,4025,129558,49402014931,8.95,430265,4.09,1046767.726,1167.45,53.95,1.1114,8307,25771,1243927.899
7/7/15,268.08,60483.23395,236795017,377347,3800,104430,49402014931,9.43,388086,4.11,958408.7591,1167.45,53.95,1.1114,8947,23847,916886.1496
8/7/15,268.53,165701.366,300494197,307720,3550,114942,49402014931,10.21,442218,4.52,3112676.991,1170.43,58.99,1.1056,8692,24976,1127642.589
9/7/15,269.87,181189.1334,405054831,342128,4525,173889,49402014931,7.95,507758,5.18,4434208.494,1170.43,58.99,1.1056,10263,36903,1493069.523
10/7/15,279.36,107645.479,328201871,324880,3350,190613,49402014931,10.77,769014,5.26,2580000,1163.54,52.33,1.1011,11220,29915,1224268.394
11/7/15,290.01,137713.4771,338481934,323601,4025,201586,49402014931,8.94,737151,5.78,4019878.893,1156.11,43.87,1.1077,11147,36474,1260499.512
12/7/15,302.73,149335.606,354683133,327766,3325,191030,49402014931,10.82,744733,6.93,6121183.261,1160.57,43.87,1.1036,9613,30281,1314274.032
13/7/15,298.71,359357.1019,513622076,322375,3850,192866,49402014931,9.28,644446,6.21,10082544.28,1161.53,47.81,1.1162,8269,29616,1838566.996
14/7/15,290.57,141753.3878,370297385,319744,3700,186052,51076366303,9.7,746483,4.34,4527027.65,1161.53,47.81,1.1162,6960,24645,1276843.505
15/7/15,288.12,186321.1443,379809427,319701,3375,208550,51076366303,10.66,776860,4.85,3959505.155,1159.12,37.65,1.1002,7266,26775,1254614.432
