Date,Weighted_bitcoin_price,Volume,Address,Mining_Difficulty,Weighted_litecoin_price,Oil_price,usdEuro,Num_Wiki_view,Num_tweets
1/7/15,260.73,103669.6966,309193,49402014931,3.99,48.69,1.1053,12957,29052
2/7/15,257.43,83719.45772,316488,49402014931,4.02,48.69,1.1084,9802,27119
3/7/15,255.6,74467.13615,301162,49402014931,4.09,53.95,1.1114,8307,25771
4/7/15,258.26,60483.23395,377347,49402014931,4.11,53.95,1.1114,8947,23847
5/7/15,266.48,165701.366,307720,49402014931,4.52,58.99,1.1056,8692,24976
6/7/15,271.29,181189.1334,342128,49402014931,5.18,58.99,1.1056,10263,36903
7/7/15,268.08,107645.479,324880,49402014931,5.26,52.33,1.1011,11220,29915
8/7/15,268.53,137713.4771,323601,49402014931,5.78,43.87,1.1077,11147,36474
9/7/15,269.87,149335.606,327766,49402014931,6.93,43.87,1.1036,9613,30281
10/7/15,279.36,359357.1019,322375,49402014931,6.21,47.81,1.1162,8269,29616
11/7/15,290.01,141753.3878,319744,51076366303,4.34,47.81,1.1162,6960,24645
12/7/15,302.73,186321.1443,319701,51076366303,4.85,37.65,1.1002,7266,26775
13/7/15,298.71,207739.6137,296403,51076366303,4.9,52.2,1.1002,8912,42326
14/7/15,290.57,98864.9895,285095,51076366303,4.68,53.04,1.1009,7770,50267
15/7/15,288.12,95399.8334,275284,51076366303,4.43,51.41,1.095,7408,38595
16/7/15,282.64,175072.8842,275653,51076366303,3.86,50.91,1.0875,7666,35125
17/7/15,277.47,99439.21865,253340,51076366303,3.75,50.89,1.083,7071,29831
18/7/15,277.71,90695.68975,257392,51076366303,3.95,50.89,1.083,6207,25985
19/7/15,274.14,55929.4521,290314,51076366303,3.88,50.15,1.0825,9122,25071
20/7/15,276.1,82257.87758,284027,51076366303,3.84,50.15,1.0825,8820,36888
21/7/15,277.67,82582.56203,306249,51076366303,3.87,50.36,1.0935,8484,30095
22/7/15,276.23,70194.40321,295223,51076366303,3.78,49.19,1.0929,8727,44651
23/7/15,276.8,66948.33815,256642,51076366303,3.8,48.45,1.0984,9252,33408
24/7/15,282.2,131819.2771,273643,51076366303,4.22,48.14,1.0984,7723,28664
25/7/15,288.4,71644.24411,243986,52278304846,4.64,48.14,1.0984,7085,21076
