Date,Open,High,Low,Close,Volume,Weighted_bitcoin_price,bitcoin_sent,Address,generatedCoin,bitcoin_transactions,Mining_Difficulty,mine_a_block_min,Block_size,Weighted_litecoin_price,Volume_litecoin,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,bitcoin_sent_inNum,Lable
1/07/2015,263.35,265.17,255.77,258.62,103669.6966,260.73,336275245,309193,3375,143977,49402014931,10.78,634471,3.99,1782751.88,1173.51,48.69,1.1053,12957,29052,1289745.119,258.62
2/07/2015,258.55,261.63,254.12,255.41,83719.45772,257.43,343719226,316488,3850,141999,49402014931,9.33,476935,4.02,1564293.532,1167.64,48.69,1.1084,9802,27119,1335194.911,255.41
3/07/2015,255.46,257.08,253.51,256.34,74467.13615,255.6,317947971,301162,4025,129558,49402014931,8.95,430265,4.09,1046767.726,1167.45,53.95,1.1114,8307,25771,1243927.899,256.34
4/07/2015,256.49,261.46,254.2,260.89,60483.23395,258.26,236795017,377347,3800,104430,49402014931,9.43,388086,4.11,958408.7591,1167.45,53.95,1.1114,8947,23847,916886.1496,260.89
5/07/2015,260.8,274.51,258.7,271.91,165701.366,266.48,300494197,307720,3550,114942,49402014931,10.21,442218,4.52,3112676.991,1170.43,58.99,1.1056,8692,24976,1127642.589,271.91
6/07/2015,271.11,277.42,267.6,269.03,181189.1334,271.29,405054831,342128,4525,173889,49402014931,7.95,507758,5.18,4434208.494,1170.43,58.99,1.1056,10263,36903,1493069.523,269.03
7/07/2015,269.96,271.34,264.83,266.21,107645.479,268.08,328201871,324880,3350,190613,49402014931,10.77,769014,5.26,2580000,1163.54,52.33,1.1011,11220,29915,1224268.394,266.21
8/07/2015,265.98,272.97,264.39,270.79,137713.4771,268.53,338481934,323601,4025,201586,49402014931,8.94,737151,5.78,4019878.893,1156.11,43.87,1.1077,11147,36474,1260499.512,270.79
9/07/2015,270.83,272.33,267.09,269.23,149335.606,269.87,354683133,327766,3325,191030,49402014931,10.82,744733,6.93,6121183.261,1160.57,43.87,1.1036,9613,30281,1314274.032,269.23
10/07/2015,269.16,294.59,268.8,284.89,359357.1019,279.36,513622076,322375,3850,192866,49402014931,9.28,644446,6.21,10082544.28,1161.53,47.81,1.1162,8269,29616,1838566.996,284.89
11/07/2015,284.88,298.51,283.53,293.11,141753.3878,290.01,370297385,319744,3700,186052,51076366303,9.7,746483,4.34,4527027.65,1161.53,47.81,1.1162,6960,24645,1276843.505,293.11
12/07/2015,293.14,314.39,292.51,310.87,186321.1443,302.73,379809427,319701,3375,208550,51076366303,10.66,776860,4.85,3959505.155,1159.12,37.65,1.1002,7266,26775,1254614.432,310.87
13/07/2015,310.83,310.95,281.01,292.05,207739.6137,298.71,391738872,296403,3700,159547,51076366303,9.75,717928,4.9,2917571.429,1159.12,52.2,1.1002,8912,42326,1311435.412,292.05
14/07/2015,292.03,296.15,286.64,287.46,98864.9895,290.57,370201546,285095,3600,122474,51076366303,9.92,716007,4.68,1157848.291,1156.53,53.04,1.1009,7770,50267,1274052.882,287.46
15/07/2015,288.05,293.25,285.37,285.83,95399.8334,288.12,363487458,275284,3825,115417,51076366303,9.54,662800,4.43,1701977.427,1151.64,51.41,1.095,7408,38595,1261583.569,285.83
16/07/2015,286.04,291.18,275.24,278.09,175072.8842,282.64,391068762,275653,3350,114253,51076366303,10.7,699366,3.86,4480647.668,1144.5,50.91,1.0875,7666,35125,1383628.51,278.09
17/07/2015,278.09,280.28,272.04,279.47,99439.21865,277.47,326646867,253340,3675,116759,51076366303,9.72,676602,3.75,2521202.667,1139.03,50.89,1.083,7071,29831,1177233.095,279.47
18/07/2015,279.33,282.53,274.08,274.9,90695.68975,277.71,246481424,257392,3725,130546,51076366303,9.8,654658,3.95,2144668.354,1139.03,50.89,1.083,6207,25985,887549.6885,274.9
19/07/2015,274.77,275.67,272.51,273.61,55929.4521,274.14,197428492,290314,3800,120735,51076366303,9.45,639914,3.88,1209603.093,1115.75,50.15,1.0825,9122,25071,720173.9695,273.61
20/07/2015,273.5,278.98,272.96,278.98,82257.87758,276.1,275565827,284027,3900,125102,51076366303,9.21,439029,3.84,1104736.979,1115.75,50.15,1.0825,8820,36888,998065.2916,278.98
21/07/2015,278.88,280.55,275.42,275.83,82582.56203,277.67,293229912,306249,3175,133658,51076366303,11.33,535470,3.87,1145149.871,1101.83,50.36,1.0935,8484,30095,1056037.426,275.83
22/07/2015,275.66,277.67,274.38,277.22,70194.40321,276.23,289410526,295223,3850,131105,51076366303,9.38,463089,3.78,765132.2751,1096.74,49.19,1.0929,8727,44651,1047715.766,277.22
23/07/2015,277.34,278.11,275.72,276.05,66948.33815,276.8,312203374,256642,3500,109480,51076366303,10.32,401368,3.8,573089.4737,1094.73,48.45,1.0984,9252,33408,1127902.363,276.05
24/07/2015,276.01,289.25,275.25,288.28,131819.2771,282.2,344958941,273643,4225,109749,51076366303,8.47,376293,4.22,3524715.64,1092.21,48.14,1.0984,7723,28664,1222391.712,288.28
25/07/2015,288.16,290.73,286,288.7,71644.24411,288.4,219380218,243986,3850,100390,52278304846,9.38,354706,4.64,2217435.345,1092.21,48.14,1.0984,7085,21076,760680.3675,288.7
