Date,Volume,Volume(%),Weighted_bitcoin_price,Weighted_bitcoin_price(%),Address,Address(%),generatedCoin,generatedCoin(%),Mining_Difficulty,Mining_Difficulty(%),Weighted_gold_price,Weighted_gold_price(%),Oil_price,Oil_price(%),usd/euro,usd/euro(%),Num_Wiki_view,Num_Wiki_view(%),Num_tweets,Num_tweets(%),Lable,Lable(%)
01/07/2015,"103,669.70",-0.19,260.73,-0.01,"309,193.00",0.02,"3,375.00",0.14,"49,402,014,931.00",0.00,"1,173.51",-0.01,48.69,0.00,1.11,0.00,"12,957.00",-0.24,"29,052.00",-0.07,258.62,-0.01
02/07/2015,"83,719.46",-0.11,257.43,-0.01,"316,488.00",-0.05,"3,850.00",0.05,"49,402,014,931.00",0.00,"1,167.64",0.00,48.69,0.11,1.11,0.00,"9,802.00",-0.15,"27,119.00",-0.05,255.41,0.00
03/07/2015,"74,467.14",-0.19,255.60,0.01,"301,162.00",0.25,"4,025.00",-0.06,"49,402,014,931.00",0.00,"1,167.45",0.00,53.95,0.00,1.11,0.00,"8,307.00",0.08,"25,771.00",-0.07,256.34,0.02
04/07/2015,"60,483.23",1.74,258.26,0.03,"377,347.00",-0.18,"3,800.00",-0.07,"49,402,014,931.00",0.00,"1,167.45",0.00,53.95,0.09,1.11,-0.01,"8,947.00",-0.03,"23,847.00",0.05,260.89,0.04
05/07/2015,"165,701.37",0.09,266.48,0.02,"307,720.00",0.11,"3,550.00",0.27,"49,402,014,931.00",0.00,"1,170.43",0.00,58.99,0.00,1.11,0.00,"8,692.00",0.18,"24,976.00",0.48,271.91,-0.01
06/07/2015,"181,189.13",-0.41,271.29,-0.01,"342,128.00",-0.05,"4,525.00",-0.26,"49,402,014,931.00",0.00,"1,170.43",-0.01,58.99,-0.11,1.11,0.00,"10,263.00",0.09,"36,903.00",-0.19,269.03,-0.01
07/07/2015,"107,645.48",0.28,268.08,0.00,"324,880.00",0.00,"3,350.00",0.20,"49,402,014,931.00",0.00,"1,163.54",-0.01,52.33,-0.16,1.10,0.01,"11,220.00",-0.01,"29,915.00",0.22,266.21,0.02
08/07/2015,"137,713.48",0.08,268.53,0.00,"323,601.00",0.01,"4,025.00",-0.17,"49,402,014,931.00",0.00,"1,156.11",0.00,43.87,0.00,1.11,0.00,"11,147.00",-0.14,"36,474.00",-0.17,270.79,-0.01
09/07/2015,"149,335.61",1.41,269.87,0.04,"327,766.00",-0.02,"3,325.00",0.16,"49,402,014,931.00",0.00,"1,160.57",0.00,43.87,0.09,1.10,0.01,"9,613.00",-0.14,"30,281.00",-0.02,269.23,0.06
10/07/2015,"359,357.10",-0.61,279.36,0.04,"322,375.00",-0.01,"3,850.00",-0.04,"49,402,014,931.00",0.03,"1,161.53",0.00,47.81,0.00,1.12,0.00,"8,269.00",-0.16,"29,616.00",-0.17,284.89,0.03
11/07/2015,"141,753.39",0.31,290.01,0.04,"319,744.00",0.00,"3,700.00",-0.09,"51,076,366,303.00",0.00,"1,161.53",0.00,47.81,-0.21,1.12,-0.01,"6,960.00",0.04,"24,645.00",0.09,293.11,0.06
12/07/2015,"186,321.14",0.11,302.73,-0.01,"319,701.00",-0.07,"3,375.00",0.10,"51,076,366,303.00",0.00,"1,159.12",0.00,37.65,0.39,1.10,0.00,"7,266.00",0.23,"26,775.00",0.58,310.87,-0.06
13/07/2015,"207,739.61",-0.52,298.71,-0.03,"296,403.00",-0.04,"3,700.00",-0.03,"51,076,366,303.00",0.00,"1,159.12",0.00,52.20,0.02,1.10,0.00,"8,912.00",-0.13,"42,326.00",0.19,292.05,-0.02
14/07/2015,"98,864.99",-0.04,290.57,-0.01,"285,095.00",-0.03,"3,600.00",0.06,"51,076,366,303.00",0.00,"1,156.53",0.00,53.04,-0.03,1.10,-0.01,"7,770.00",-0.05,"50,267.00",-0.23,287.46,-0.01
15/07/2015,"95,399.83",0.84,288.12,-0.02,"275,284.00",0.00,"3,825.00",-0.12,"51,076,366,303.00",0.00,"1,151.64",-0.01,51.41,-0.01,1.10,-0.01,"7,408.00",0.03,"38,595.00",-0.09,285.83,-0.03
16/07/2015,"175,072.88",-0.43,282.64,-0.02,"275,653.00",-0.08,"3,350.00",0.10,"51,076,366,303.00",0.00,"1,144.50",0.00,50.91,0.00,1.09,0.00,"7,666.00",-0.08,"35,125.00",-0.15,278.09,0.00
17/07/2015,"99,439.22",-0.09,277.47,0.00,"253,340.00",0.02,"3,675.00",0.01,"51,076,366,303.00",0.00,"1,139.03",0.00,50.89,0.00,1.08,0.00,"7,071.00",-0.12,"29,831.00",-0.13,279.47,-0.02
18/07/2015,"90,695.69",-0.38,277.71,-0.01,"257,392.00",0.13,"3,725.00",0.02,"51,076,366,303.00",0.00,"1,139.03",-0.02,50.89,-0.01,1.08,0.00,"6,207.00",0.47,"25,985.00",-0.04,274.90,0.00
19/07/2015,"55,929.45",0.47,274.14,0.01,"290,314.00",-0.02,"3,800.00",0.03,"51,076,366,303.00",0.00,"1,115.75",0.00,50.15,0.00,1.08,0.00,"9,122.00",-0.03,"25,071.00",0.47,273.61,0.02
20/07/2015,"82,257.88",0.00,276.10,0.01,"284,027.00",0.08,"3,900.00",-0.19,"51,076,366,303.00",0.00,"1,115.75",-0.01,50.15,0.00,1.08,0.01,"8,820.00",-0.04,"36,888.00",-0.18,278.98,-0.01
21/07/2015,"82,582.56",-0.15,277.67,-0.01,"306,249.00",-0.04,"3,175.00",0.21,"51,076,366,303.00",0.00,"1,101.83",0.00,50.36,-0.02,1.09,0.00,"8,484.00",0.03,"30,095.00",0.48,275.83,0.01
22/07/2015,"70,194.40",-0.05,276.23,0.00,"295,223.00",-0.13,"3,850.00",-0.09,"51,076,366,303.00",0.00,"1,096.74",0.00,49.19,-0.02,1.09,0.01,"8,727.00",0.06,"44,651.00",-0.25,277.22,0.00
23/07/2015,"66,948.34",0.97,276.80,0.02,"256,642.00",0.07,"3,500.00",0.21,"51,076,366,303.00",0.00,"1,094.73",0.00,48.45,-0.01,1.10,0.00,"9,252.00",-0.17,"33,408.00",-0.14,276.05,0.04
24/07/2015,"131,819.28",-0.46,282.20,0.02,"273,643.00",-0.11,"4,225.00",-0.09,"51,076,366,303.00",0.02,"1,092.21",0.00,48.14,0.00,1.10,0.00,"7,723.00",-0.08,"28,664.00",-0.26,288.28,0.00
25/07/2015,"71,644.24",-0.23,288.40,0.01,"243,986.00",0.22,"3,850.00",-0.06,"52,278,304,846.00",0.00,"1,092.21",0.01,48.14,-0.02,1.10,0.01,"7,085.00",0.17,"21,076.00",-0.26,288.70,0.01
26/07/2015,"55,184.84",0.89,290.52,0.01,"298,836.00",-0.05,"3,600.00",0.03,"52,278,304,846.00",0.00,"1,099.00",0.00,47.39,0.00,1.11,0.00,"8,297.00",0.14,"15,592.00",0.99,292.69,0.00
27/07/2015,"104,455.90",-0.17,292.87,0.01,"285,200.00",0.05,"3,725.00",-0.09,"52,278,304,846.00",0.00,"1,096.92",0.00,47.39,0.01,1.11,0.00,"9,446.00",-0.02,"30,972.00",0.08,293.62,0.00
28/07/2015,"86,421.08",-0.02,294.53,-0.01,"298,291.00",0.08,"3,400.00",0.12,"52,278,304,846.00",0.00,"1,096.86",0.01,47.98,0.02,1.11,-0.01,"9,259.00",-0.04,"33,519.00",0.13,294.43,-0.02
29/07/2015,"84,538.63",-0.11,291.85,-0.01,"321,419.00",-0.14,"3,800.00",-0.12,"52,278,304,846.00",0.00,"1,103.57",-0.01,48.79,-0.01,1.10,0.00,"8,886.00",-0.05,"37,726.00",-0.12,289.59,-0.01
30/07/2015,"75,025.31",0.10,288.38,-0.01,"276,124.00",0.10,"3,350.00",0.13,"52,278,304,846.00",0.00,"1,095.66",0.00,48.52,-0.03,1.09,0.00,"8,411.00",-0.16,"33,018.00",-0.16,287.72,-0.01
31/07/2015,"82,645.24",-0.19,285.91,-0.01,"303,868.00",-0.02,"3,775.00",0.03,"52,278,304,846.00",0.00,"1,091.16",0.00,47.12,0.04,1.10,0.00,"7,078.00",1.71,"27,789.00",-0.03,284.65,-0.01
01/08/2015,"67,279.42",-0.06,282.33,-0.01,"298,805.00",0.00,"3,875.00",-0.03,"52,278,304,846.00",0.00,"1,091.16",0.00,48.80,0.00,1.10,0.00,"19,155.00",-0.30,"26,960.00",-0.10,281.60,0.00
02/08/2015,"63,090.78",0.21,280.90,0.01,"298,371.00",0.00,"3,775.00",0.04,"52,278,304,846.00",0.00,"1,091.26",0.00,48.80,0.03,1.10,0.00,"13,380.00",-0.24,"24,294.00",0.44,282.61,0.00
03/08/2015,"76,030.66",0.02,282.44,0.00,"298,021.00",-0.02,"3,925.00",-0.13,"52,278,304,846.00",0.00,"1,091.26",0.00,50.44,0.00,1.10,-0.01,"10,226.00",-0.14,"35,036.00",-0.02,281.23,0.01
04/08/2015,"77,320.28",-0.08,283.35,0.00,"293,112.00",0.08,"3,400.00",-0.02,"52,278,304,846.00",0.00,"1,085.92",0.00,50.44,0.18,1.09,0.00,"8,776.00",-0.05,"34,486.00",-0.09,285.22,-0.01
05/08/2015,"71,015.77",-0.06,283.43,-0.01,"316,578.00",-0.07,"3,325.00",0.08,"52,278,304,846.00",0.00,"1,086.35",0.00,59.41,-0.02,1.09,0.00,"8,297.00",-0.05,"31,470.00",0.13,281.88,-0.01
06/08/2015,"67,066.74",1.27,280.20,-0.01,"295,691.00",-0.08,"3,575.00",-0.04,"52,278,304,846.00",0.00,"1,088.06",0.00,58.14,-0.11,1.09,0.00,"7,852.00",-0.01,"35,658.00",0.33,278.58,0.00
07/08/2015,"152,400.90",0.42,278.77,-0.03,"272,880.00",0.00,"3,425.00",0.18,"52,278,304,846.00",0.01,"1,091.76",0.00,51.65,0.00,1.10,0.00,"7,736.00",-0.12,"47,467.00",-0.39,279.58,-0.07
08/08/2015,"216,508.23",-0.58,270.35,-0.03,"273,178.00",-0.02,"4,025.00",-0.12,"52,699,842,409.00",0.00,"1,091.76",0.00,51.65,-0.11,1.10,0.00,"6,784.00",0.00,"29,031.00",-0.07,261.00,0.02
09/08/2015,"90,310.53",-0.12,263.42,0.01,"268,041.00",0.09,"3,550.00",0.18,"52,699,842,409.00",0.00,"1,094.20",0.00,45.94,0.08,1.10,0.00,"6,776.00",0.14,"27,132.00",0.02,265.08,0.00
10/08/2015,"79,197.43",0.20,264.90,0.01,"292,852.00",-0.08,"4,175.00",-0.03,"52,699,842,409.00",0.00,"1,096.50",0.01,49.43,0.00,1.10,0.00,"7,722.00",0.03,"27,744.00",-0.04,264.47,0.02
11/08/2015,"95,151.14",0.05,267.30,0.00,"269,443.00",0.03,"4,050.00",-0.22,"52,699,842,409.00",0.00,"1,106.28",0.01,49.43,-0.24,1.10,0.01,"7,975.00",0.01,"26,653.00",0.10,270.39,-0.01
12/08/2015,"99,953.03",0.05,268.28,-0.01,"277,812.00",-0.01,"3,150.00",0.17,"52,699,842,409.00",0.00,"1,116.29",0.00,37.51,0.13,1.12,0.00,"8,033.00",0.19,"29,241.00",0.06,266.38,-0.01
13/08/2015,"104,540.65",-0.02,264.83,0.00,"276,354.00",-0.01,"3,675.00",-0.03,"52,699,842,409.00",0.00,"1,120.14",0.00,42.23,0.01,1.12,0.00,"9,529.00",-0.25,"31,087.00",-0.01,264.08,0.01
