Date,Open,High,Low,Close,Weighted_bitcoin_price,Volume,Address,Mining_Difficulty,Weighted_litecoin_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,3d MA,Lable
1/07/2015,263.35,265.17,255.77,258.62,260.73,103669.6966,309193,49402014931,3.99,48.69,1.1053,12957,29052,259.58,255.41
2/07/2015,258.55,261.63,254.12,255.41,257.43,83719.45772,316488,49402014931,4.02,48.69,1.1084,9802,27119,259.03,256.34
3/07/2015,255.46,257.08,253.51,256.34,255.6,74467.13615,301162,49402014931,4.09,53.95,1.1114,8307,25771,256.79,260.89
4/07/2015,256.49,261.46,254.2,260.89,258.26,60483.23395,377347,49402014931,4.11,53.95,1.1114,8947,23847,257.55,271.91
5/07/2015,260.8,274.51,258.7,271.91,266.48,165701.366,307720,49402014931,4.52,58.99,1.1056,8692,24976,263.05,269.03
6/07/2015,271.11,277.42,267.6,269.03,271.29,181189.1334,342128,49402014931,5.18,58.99,1.1056,10263,36903,267.28,266.21
7/07/2015,269.96,271.34,264.83,266.21,268.08,107645.479,324880,49402014931,5.26,52.33,1.1011,11220,29915,269.05,270.79
8/07/2015,265.98,272.97,264.39,270.79,268.53,137713.4771,323601,49402014931,5.78,43.87,1.1077,11147,36474,268.68,269.23
9/07/2015,270.83,272.33,267.09,269.23,269.87,149335.606,327766,49402014931,6.93,43.87,1.1036,9613,30281,268.74,284.89
10/07/2015,269.16,294.59,268.8,284.89,279.36,359357.1019,322375,49402014931,6.21,47.81,1.1162,8269,29616,274.97,293.11
11/07/2015,284.88,298.51,283.53,293.11,290.01,141753.3878,319744,51076366303,4.34,47.81,1.1162,6960,24645,282.41,310.87
12/07/2015,293.14,314.39,292.51,310.87,302.73,186321.1443,319701,51076366303,4.85,37.65,1.1002,7266,26775,296.29,292.05
13/07/2015,310.83,310.95,281.01,292.05,298.71,207739.6137,296403,51076366303,4.9,52.2,1.1002,8912,42326,298.68,287.46
14/07/2015,292.03,296.15,286.64,287.46,290.57,98864.9895,285095,51076366303,4.68,53.04,1.1009,7770,50267,296.79,285.83
15/07/2015,288.05,293.25,285.37,285.83,288.12,95399.8334,275284,51076366303,4.43,51.41,1.095,7408,38595,288.45,278.09
16/07/2015,286.04,291.18,275.24,278.09,282.64,175072.8842,275653,51076366303,3.86,50.91,1.0875,7666,35125,283.79,279.47
17/07/2015,278.09,280.28,272.04,279.47,277.47,99439.21865,253340,51076366303,3.75,50.89,1.083,7071,29831,281.13,274.9
18/07/2015,279.33,282.53,274.08,274.9,277.71,90695.68975,257392,51076366303,3.95,50.89,1.083,6207,25985,277.49,273.61
19/07/2015,274.77,275.67,272.51,273.61,274.14,55929.4521,290314,51076366303,3.88,50.15,1.0825,9122,25071,275.99,278.98
20/07/2015,273.5,278.98,272.96,278.98,276.1,82257.87758,284027,51076366303,3.84,50.15,1.0825,8820,36888,275.83,275.83
21/07/2015,278.88,280.55,275.42,275.83,277.67,82582.56203,306249,51076366303,3.87,50.36,1.0935,8484,30095,276.14,277.22
22/07/2015,275.66,277.67,274.38,277.22,276.23,70194.40321,295223,51076366303,3.78,49.19,1.0929,8727,44651,277.34,276.05
23/07/2015,277.34,278.11,275.72,276.05,276.8,66948.33815,256642,51076366303,3.8,48.45,1.0984,9252,33408,276.37,288.28
24/07/2015,276.01,289.25,275.25,288.28,282.2,131819.2771,273643,51076366303,4.22,48.14,1.0984,7723,28664,280.52,288.7
25/07/2015,288.16,290.73,286,288.7,288.4,71644.24411,243986,52278304846,4.64,48.14,1.0984,7085,21076,284.34,292.69
26/07/2015,288.64,293.05,287.71,292.69,290.52,55184.84097,298836,52278304846,4.62,47.39,1.1088,8297,15592,289.89,293.62
27/07/2015,292.64,297.77,287.45,293.62,292.87,104455.9019,285200,52278304846,4.67,47.39,1.1088,9446,30972,291.67,294.43
28/07/2015,293.63,296.65,293.42,294.43,294.53,86421.07765,298291,52278304846,4.88,47.98,1.106,9259,33519,293.58,289.59
29/07/2015,294.48,294.54,288.78,289.59,291.85,84538.63286,321419,52278304846,4.92,48.79,1.0984,8886,37726,292.55,287.72
30/07/2015,289.1,290.13,286.57,287.72,288.38,75025.31382,276124,52278304846,4.67,48.52,1.0932,8411,33018,290.58,284.65
31/07/2015,287.7,288.96,282.34,284.65,285.91,82645.23801,303868,52278304846,4.62,47.12,1.0984,7078,27789,287.32,281.6
1/08/2015,284.69,284.93,278.11,281.6,282.33,67279.42479,298805,52278304846,4.38,48.8,1.0984,19155,26960,284.66,282.61
2/08/2015,280.45,283.03,277.53,282.61,280.9,63090.77964,298371,52278304846,4.08,48.8,1.095,13380,24294,282.95,281.23
3/08/2015,282.81,285.47,280.23,281.23,282.44,76030.66138,298021,52278304846,4.18,50.44,1.095,10226,35036,281.81,285.22
4/08/2015,281.23,285.71,281.23,285.22,283.35,77320.27528,293112,52278304846,4.3,50.44,1.0881,8776,34486,283.02,281.88
5/08/2015,284.85,285.5,281.49,281.88,283.43,71015.77109,316578,52278304846,4.36,59.41,1.0906,8297,31470,282.78,278.58
6/08/2015,281.91,281.91,278.4,278.58,280.2,67066.73804,295691,52278304846,4.2,58.14,1.0925,7852,35658,281.89,279.58
