Date,Bitcoin_closeprice,Volume,Num_bitcoin_address,bitcoin_transactions,Mining_Difficulty,mine_a_block_min,Block_size,Weighted_litecoin_price,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,3d MA,9d MA,14d MA,WSJ Daily Sentiment,Regulation Sentiment,Privacy and Security Sentiment
01/07/2015,258.62,103669.7,267891,143977,49402014931,10.78,634471,3.99,1173.51,48.69,1.1053,12957,29052,256.38,248.7,248.09,-0.54,-0.97,-0.97
02/07/2015,255.41,83719.46,276497,141999,49402014931,9.33,476935,4.02,1167.64,48.69,1.1084,9802,27119,259.58,249.99,248.81,-0.54,-0.97,-0.97
03/07/2015,256.34,74467.14,267584,129558,49402014931,8.95,430265,4.09,1167.45,53.95,1.1114,8307,25771,259.03,251.23,249.3,-0.54,-0.97,-0.97
04/07/2015,260.89,60483.23,251749,104430,49402014931,9.43,388086,4.11,1167.45,53.95,1.1114,8947,23847,256.79,252.99,250.2,-0.54,-0.97,-0.97
05/07/2015,271.91,165701.37,272051,114942,49402014931,10.21,442218,4.52,1170.43,58.99,1.1056,8692,24976,257.55,255,250.97,-0.54,-0.97,-0.97
06/07/2015,269.03,181189.13,287795,173889,49402014931,7.95,507758,5.18,1170.43,58.99,1.1056,10263,36903,263.05,258.14,252.96,-0.57,-0.97,-0.97
07/07/2015,266.21,107645.48,283673,190613,49402014931,10.77,769014,5.26,1163.54,52.33,1.1011,11220,29915,267.28,260.15,254.54,-0.57,-0.97,-0.97
08/07/2015,270.79,137713.48,286530,201586,49402014931,8.94,737151,5.78,1156.11,43.87,1.1077,11147,36474,269.05,262.06,256.1,-0.57,-0.97,-0.97
09/07/2015,269.23,149335.61,283452,191030,49402014931,10.82,744733,6.93,1160.57,43.87,1.1036,9613,30281,268.68,263.59,258.27,-0.57,-0.97,-0.97
10/07/2015,284.89,359357.1,289735,192866,49402014931,9.28,644446,6.21,1161.53,47.81,1.1162,8269,29616,268.74,264.27,260.15,-0.57,-0.97,-0.97
11/07/2015,293.11,141753.39,287238,186052,51076366303,9.7,746483,4.34,1161.53,47.81,1.1162,6960,24645,274.97,267.19,263.1,-0.57,-0.97,-0.97
12/07/2015,310.87,186321.14,284313,208550,51076366303,10.66,776860,4.85,1159.12,37.65,1.1002,7266,26775,282.41,271.38,266.11,0.45,-0.97,-0.97
13/07/2015,292.05,207739.61,254591,159547,51076366303,9.75,717928,4.9,1159.12,52.2,1.1002,8912,42326,296.29,277.44,270.53,0.45,-0.97,-0.97
14/07/2015,287.46,98864.99,255129,122474,51076366303,9.92,716007,4.68,1156.53,53.04,1.1009,7770,50267,298.68,280.9,273.03,0.45,-0.97,-0.97
15/07/2015,285.83,95399.83,231269,115417,51076366303,9.54,662800,4.43,1151.64,51.41,1.095,7408,38595,296.79,282.63,274.77,0.45,-0.97,-0.97
16/07/2015,278.09,175072.88,243088,114253,51076366303,10.7,699366,3.86,1144.5,50.91,1.0875,7666,35125,288.45,284.49,276.72,0.45,-0.97,-0.97
