Date,Open,High,Low,Close,Volume%,Volume,Weighted_bitcoin_price,Address,generatedCoin,Mining_Difficulty,Weighted_litecoin_price,Volume_litecoin,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,3d MA,9d MA,15d MA,Lable
1/07/2015,263.35,265.17,255.77,258.62,-0.19,103669.6966,260.73,309193,3375,49402014931,3.99,1782751.88,1173.51,48.69,1.1053,12957,29052,259.58,256.79,248.84,258.62
2/07/2015,258.55,261.63,254.12,255.41,-0.11,83719.45772,257.43,316488,3850,49402014931,4.02,1564293.532,1167.64,48.69,1.1084,9802,27119,259.03,257.55,249.28,255.41
3/07/2015,255.46,257.08,253.51,256.34,-0.19,74467.13615,255.6,301162,4025,49402014931,4.09,1046767.726,1167.45,53.95,1.1114,8307,25771,256.79,263.05,249.80,256.34
4/07/2015,256.49,261.46,254.2,260.89,1.74,60483.23395,258.26,377347,3800,49402014931,4.11,958408.7591,1167.45,53.95,1.1114,8947,23847,257.55,267.28,250.97,260.89
5/07/2015,260.8,274.51,258.7,271.91,0.09,165701.366,266.48,307720,3550,49402014931,4.52,3112676.991,1170.43,58.99,1.1056,8692,24976,263.05,269.05,252.36,271.91
6/07/2015,271.11,277.42,267.6,269.03,-0.41,181189.1334,271.29,342128,4525,49402014931,5.18,4434208.494,1170.43,58.99,1.1056,10263,36903,267.28,268.68,254.03,269.03
7/07/2015,269.96,271.34,264.83,266.21,0.28,107645.479,268.08,324880,3350,49402014931,5.26,2580000,1163.54,52.33,1.1011,11220,29915,269.05,268.74,255.32,266.21
8/07/2015,265.98,272.97,264.39,270.79,0.08,137713.4771,268.53,323601,4025,49402014931,5.78,4019878.893,1156.11,43.87,1.1077,11147,36474,268.68,274.97,257.08,270.79
9/07/2015,270.83,272.33,267.09,269.23,1.41,149335.606,269.87,327766,3325,49402014931,6.93,6121183.261,1160.57,43.87,1.1036,9613,30281,268.74,282.41,259.00,269.23
10/07/2015,269.16,294.59,268.8,284.89,-0.61,359357.1019,279.36,322375,3850,49402014931,6.21,10082544.28,1161.53,47.81,1.1162,8269,29616,274.97,296.29,261.80,284.89
11/07/2015,284.88,298.51,283.53,293.11,0.31,141753.3878,290.01,319744,3700,51076366303,4.34,4527027.65,1161.53,47.81,1.1162,6960,24645,282.41,298.68,265.10,293.11
