,Date,Average Sentiment
320,2015/10/14,-0.46
1,2015/6/18,-0.97
169,2015/6/25,-0.97
168,2015/6/3,0.74
92,2015/6/30,-0.99
0,2015/6/5,-0.8
93,2015/8/17,-0.9
321,2016/1/21,0.99
115,2016/10/12,-0.36
353,2016/10/13,0.65
354,2016/10/18,0.03
94,2016/10/19,-0.75
24,2016/10/25,0.53
355,2016/10/27,1.0
114,2016/10/5,1.0
186,2016/10/7,1.0
356,2016/11/17,-0.59
357,2016/11/18,0.97
187,2016/11/21,1.0
358,2016/11/22,-0.1
188,2016/11/23,0.96
118,2016/11/30,1.0
116,2016/11/4,1.0
117,2016/11/7,0.99
121,2016/12/15,0.8
25,2016/12/19,0.2
120,2016/12/2,-0.51
26,2016/12/21,0.99
359,2016/12/28,0.66
360,2016/12/29,0.2
189,2016/12/5,0.95
322,2016/2/11,0.69
323,2016/2/14,-0.1
95,2016/2/15,0.6
170,2016/2/17,-0.97
438,2016/2/18,-0.81
2,2016/2/19,-0.8
324,2016/2/20,-0.1
96,2016/2/23,0.37
171,2016/2/24,0.12
325,2016/2/25,0.99
326,2016/2/26,-0.92
3,2016/2/29,0.23
172,2016/3/10,0.66
4,2016/3/11,-0.94
97,2016/3/14,1.0
5,2016/3/15,0.01
329,2016/3/17,-0.56
6,2016/3/18,0.34
173,2016/3/19,-0.4
7,2016/3/24,0.15
98,2016/3/28,-0.27
8,2016/3/29,-0.27
327,2016/3/3,0.37
330,2016/3/30,0.4
99,2016/3/31,0.99
328,2016/3/4,-0.42
100,2016/4/12,-0.36
175,2016/4/13,0.72
9,2016/4/14,0.32
334,2016/4/15,0.9
335,2016/4/18,0.11
336,2016/4/19,0.44
10,2016/4/20,-0.23
337,2016/4/21,0.99
338,2016/4/22,-0.1
176,2016/4/25,0.3
101,2016/4/26,-0.15
339,2016/4/28,0.34
11,2016/4/29,-0.89
174,2016/4/4,0.99
331,2016/4/5,1.0
332,2016/4/6,0.36
333,2016/4/7,0.26
341,2016/5/11,0.54
102,2016/5/12,0.99
342,2016/5/16,0.38
177,2016/5/18,-0.62
343,2016/5/23,-0.94
178,2016/5/25,0.98
340,2016/5/3,-0.79
344,2016/5/31,0.99
15,2016/6/14,0.38
104,2016/6/17,0.99
12,2016/6/2,-0.3
105,2016/6/21,-0.0
16,2016/6/28,0.98
106,2016/6/29,0.26
13,2016/6/3,1.0
107,2016/6/30,-0.07
345,2016/6/7,0.3
14,2016/6/8,0.83
103,2016/6/9,0.68
109,2016/7/11,0.49
349,2016/7/12,-1.0
179,2016/7/13,-0.98
180,2016/7/14,1.0
110,2016/7/25,-0.27
181,2016/7/28,0.25
350,2016/7/29,-0.99
