,Date,Weighted_bitcoin_price,Volume,Num_bitcoin_address,bitcoin_transactions,Mining_Difficulty,mine_a_block_min,Block_size,Weighted_litecoin_price,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,3d MA,9d MA,15d MA,WSJ daily sentiment
0,2015/7/6,271.29,49154800,287795,173889,49402014931.0,7.95,507758,5.18,1170.43,58.99,1.1056,10263,36903,265.34,259.25,253.24,-0.57
1,2015/7/7,268.08,28857600,283673,190613,49402014931.0,10.77,769014,5.26,1163.54,52.33,1.1011,11220,29915,268.62,261.3,254.74,-0.57
2,2015/7/8,268.53,36980200,286530,201586,49402014931.0,8.94,737151,5.78,1156.11,43.87,1.1077,11147,36474,269.3,263.04,256.28,-0.57
3,2015/7/9,269.87,40301200,283452,191030,49402014931.0,10.82,744733,6.93,1160.57,43.87,1.1036,9613,30281,268.83,264.03,258.11,-0.57
4,2015/7/10,279.36,100390000,289735,192866,49402014931.0,9.28,644446,6.21,1161.53,47.81,1.1162,8269,29616,272.59,266.1,260.62,-0.57
5,2015/7/11,290.01,41109900,287238,186052,51076366303.0,9.7,746483,4.34,1161.53,47.81,1.1162,6960,24645,279.75,269.72,263.76,-0.57
6,2015/7/12,302.73,56405000,284313,208550,51076366303.0,10.66,776860,4.85,1159.12,37.65,1.1002,7266,26775,290.7,274.96,267.46,0.45
7,2015/7/13,298.71,62053900,254591,159547,51076366303.0,9.75,717928,4.9,1159.12,52.2,1.1002,8912,42326,297.15,279.45,270.73,0.45
8,2015/7/14,290.57,28727200,255129,122474,51076366303.0,9.92,716007,4.68,1156.53,53.04,1.1009,7770,50267,297.34,282.13,273.24,0.45
9,2015/7/15,288.12,27486600,231269,115417,51076366303.0,9.54,662800,4.43,1151.64,51.41,1.095,7408,38595,292.47,284.0,275.05,0.45
10,2015/7/16,282.64,49482600,243088,114253,51076366303.0,10.7,699366,3.86,1144.5,50.91,1.0875,7666,35125,287.11,285.62,276.51,0.45
11,2015/7/17,277.47,27591400,222743,116759,51076366303.0,9.72,676602,3.75,1139.03,50.89,1.083,7071,29831,282.74,286.61,277.85,0.45
12,2015/7/18,277.71,25187100,230088,130546,51076366303.0,9.8,654658,3.95,1139.03,50.89,1.083,6207,25985,279.27,287.48,279.32,0.45
13,2015/7/19,274.14,15332500,263213,120735,51076366303.0,9.45,639914,3.88,1115.75,50.15,1.0825,9122,25071,276.44,286.9,280.38,0.45
14,2015/7/20,276.1,22711400,248768,125102,51076366303.0,9.21,439029,3.84,1115.75,50.15,1.0825,8820,36888,275.98,285.35,281.02,0.45
15,2015/7/21,277.67,22930700,236628,133658,51076366303.0,11.33,535470,3.87,1101.83,50.36,1.0935,8484,30095,275.97,282.57,281.45,0.45
