Date,Average Sentiment
2015/7/6,-0.57
2015/7/12,0.45
2015/8/1,-0.84
2015/8/31,-0.85
2015/9/9,0.23
2015/9/16,0.74
2015/9/21,-0.53
2015/9/25,0.82
2015/10/21,0.7
2015/11/18,0.94
2015/12/4,-0.74
2015/12/6,0.51
2015/12/7,-0.88
2015/12/9,0.25
2016/1/17,-0.45
2016/2/3,0
2016/2/16,0
2016/2/22,-0.03
2016/2/25,-0.61
2016/3/17,0.64
2016/3/29,0.51
2016/4/19,0.05
2016/4/28,0.53
2016/5/2,0
2016/5/3,0
2016/5/5,0
2016/5/17,0
2016/5/22,-0.64
2016/5/30,0
2016/6/8,-0.26
2016/6/9,-0.44
2016/6/16,0
2016/6/17,0.57
2016/6/20,0.34
2016/6/21,-0.32
2016/6/23,0
2016/6/24,0.23
2016/7/5,-0.72
2016/7/7,0
2016/7/10,-0.3
2016/7/12,0.76
2016/7/14,0.4
2016/7/19,0.38
2016/7/20,0.03
2016/7/21,-0.69
2016/8/4,0
2016/8/7,-0.59
2016/8/19,-0.25
2016/8/24,0
2016/9/7,0.38
2016/9/15,0
2016/9/20,-0.27
2016/9/27,0
2016/9/28,-0.3
2016/10/3,0.23
2016/10/5,0.59
2016/10/6,-0.71
2016/10/7,0.74
2016/10/18,0.66
2016/10/19,0.27
2016/10/21,0
2016/11/1,-0.05
2016/11/5,-0.32
2016/11/8,0.44
2016/11/14,0.59
2016/11/16,-0.27
2016/11/21,0.32
2016/12/1,0.4
2016/12/5,0
2016/12/6,0.27
2016/12/7,0.03
2016/12/12,0
2016/12/23,0.38
2016/12/30,-0.01
2017/1/3,0.67
2017/1/5,-0.19
2017/1/8,0.38
2017/1/10,-0.88
2017/1/11,-0.38
2017/1/13,0
2017/1/19,-0.56
2017/1/20,0.51
2017/1/23,-0.3
2017/1/30,0.18
2017/2/5,0.1
2017/2/8,0.38
2017/2/9,-0.49
2017/2/24,0.71
2017/2/28,-0.52
2017/3/6,0.61
2017/3/8,0.48
2017/3/10,-0.85
2017/3/15,-0.42
2017/3/17,0
2017/3/19,-0.74
2017/3/22,-0.54
2017/3/28,-0.18
2017/4/4,-0.23
2017/4/9,0.36
2017/4/10,0
2017/4/12,0.23
2017/4/17,0.66
2017/4/18,-0.82
2017/4/26,-0.2
2017/5/8,-0.68
2017/5/16,0.42
2017/5/17,0
2017/5/22,0.05
2017/5/23,0.4
2017/5/26,0.3
2017/6/2,0.86
2017/6/5,0
2017/6/6,-0.55
2017/6/20,-0.68
2017/6/23,-0.4
2017/6/29,0.32
2017/7/1,0.34
2017/7/2,0.36
2017/7/7,0.6
2017/7/9,0.67
2017/7/12,-0.72
2017/7/16,0
2017/7/24,0.96
2017/7/28,0.42
2017/7/31,-0.6
2017/8/1,0.25
2017/8/2,0.49
2017/8/4,0.08
2017/8/10,0.7
2017/8/13,0
2017/8/25,0.38
2017/8/27,0.59
2017/8/29,0.15
2017/8/31,-0.89
2017/9/4,-0.06
2017/9/11,0.25
2017/9/14,-0.36
2017/9/18,0.53
2017/9/19,0.65
2017/9/20,0.2
2017/9/21,-0.67
2017/9/22,0.09
2017/9/29,0.25
2017/9/30,0
2017/10/2,0.28
2017/10/4,0
2017/10/8,-0.38
2017/10/11,0.2
2017/10/12,0.81
2017/10/19,-0.15
2017/10/21,0.27
2017/10/25,0.14
2017/10/27,0.42
2017/10/31,0.32
2017/11/1,0.34
2017/11/2,0.67
2017/11/3,-0.82
2017/11/5,0.38
2017/11/7,-0.3
2017/11/8,-0.78
2017/11/9,0.59
2017/11/10,0
2017/11/13,-0.38
2017/11/15,-0.05
2017/11/17,-0.4
2017/11/19,-0.57
2017/11/20,-0.4
2017/11/21,-0.01
2017/11/27,0
2017/11/29,0.17
2017/11/30,0.53
2017/12/1,0.11
2017/12/2,0.15
2017/12/3,0.39
2017/12/4,-0.17
2017/12/5,-0.06
2017/12/6,0.3
2017/12/7,0.06
2017/12/8,0.53
2017/12/9,-0.74
2017/12/10,-0.09
2017/12/11,0.36
2017/12/12,0.04
2017/12/13,0.16
2017/12/14,0.19
2017/12/15,0.64
2017/12/16,-0.78
2017/12/17,0.13
2017/12/18,0
2017/12/19,0.06
2017/12/20,-0.25
2017/12/21,0.2
2017/12/22,0.37
2017/12/23,0.4
2017/12/25,0.76
2017/12/31,0.08
2018/1/2,0.21
2018/1/3,0.78
2018/1/4,0.38
2018/1/5,-0.3
