Date,Weighted_bitcoin_price,Volume,Num_bitcoin_address,bitcoin_transactions,Mining_Difficulty,mine_a_block_min,Block_size,Weighted_litecoin_price,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,3d MA,9d MA,15d MA
2015/7/1,260.73,27029800,267891,143977,49402014931,10.78,634471,3.99,1173.51,48.69,1.1053,12957,29052,256.38,248.7,248.09
2015/7/2,257.43,21551900,276497,141999,49402014931,9.33,476935,4.02,1167.64,48.69,1.1084,9802,27119,259.58,249.99,248.81
2015/7/3,255.6,19033800,267584,129558,49402014931,8.95,430265,4.09,1167.45,53.95,1.1114,8307,25771,259.03,251.23,249.3
2015/7/4,258.26,15620400,251749,104430,49402014931,9.43,388086,4.11,1167.45,53.95,1.1114,8947,23847,256.79,252.99,250.2
2015/7/5,266.48,44156100,272051,114942,49402014931,10.21,442218,4.52,1170.43,58.99,1.1056,8692,24976,257.55,255,250.97
2015/7/6,271.29,49154800,287795,173889,49402014931,7.95,507758,5.18,1170.43,58.99,1.1056,10263,36903,263.05,258.14,252.96
2015/7/7,268.08,28857600,283673,190613,49402014931,10.77,769014,5.26,1163.54,52.33,1.1011,11220,29915,267.28,260.15,254.54
2015/7/8,268.53,36980200,286530,201586,49402014931,8.94,737151,5.78,1156.11,43.87,1.1077,11147,36474,269.05,262.06,256.1
2015/7/9,269.87,40301200,283452,191030,49402014931,10.82,744733,6.93,1160.57,43.87,1.1036,9613,30281,268.68,263.59,258.27
2015/7/10,279.36,100390000,289735,192866,49402014931,9.28,644446,6.21,1161.53,47.81,1.1162,8269,29616,268.74,264.27,260.15
2015/7/11,290.01,41109900,287238,186052,51076366303,9.7,746483,4.34,1161.53,47.81,1.1162,6960,24645,274.97,267.19,263.1
2015/7/12,302.73,56405000,284313,208550,51076366303,10.66,776860,4.85,1159.12,37.65,1.1002,7266,26775,282.41,271.38,266.11
2015/7/13,298.71,62053900,254591,159547,51076366303,9.75,717928,4.9,1159.12,52.2,1.1002,8912,42326,296.29,277.44,270.53
2015/7/14,290.57,28727200,255129,122474,51076366303,9.92,716007,4.68,1156.53,53.04,1.1009,7770,50267,298.68,280.9,273.03
2015/7/15,288.12,27486600,231269,115417,51076366303,9.54,662800,4.43,1151.64,51.41,1.095,7408,38595,296.79,282.63,274.77
2015/7/16,282.64,49482600,243088,114253,51076366303,10.7,699366,3.86,1144.5,50.91,1.0875,7666,35125,288.45,284.49,276.72
2015/7/17,277.47,27591400,222743,116759,51076366303,9.72,676602,3.75,1139.03,50.89,1.083,7071,29831,283.79,285.81,278.34
2015/7/18,277.71,25187100,230088,130546,51076366303,9.8,654658,3.95,1139.03,50.89,1.083,6207,25985,281.13,286.78,279.99
2015/7/19,274.14,15332500,263213,120735,51076366303,9.45,639914,3.88,1115.75,50.15,1.0825,9122,25071,277.49,287.41,280.99
2015/7/20,276.1,22711400,248768,125102,51076366303,9.21,439029,3.84,1115.75,50.15,1.0825,8820,36888,275.99,286.15,281.11
2015/7/21,277.67,22930700,236628,133658,51076366303,11.33,535470,3.87,1101.83,50.36,1.0935,8484,30095,275.83,284.58,281.82
2015/7/22,276.23,19389800,236628,131105,51076366303,9.38,463089,3.78,1096.74,49.19,1.0929,8727,44651,276.14,280.69,282.51
2015/7/23,276.8,18531300,236628,109480,51076366303,10.32,401368,3.8,1094.73,48.45,1.0984,9252,33408,277.34,279.04,282.97
2015/7/24,282.2,37199400,236628,109749,51076366303,8.47,376293,4.22,1092.21,48.14,1.0984,7723,28664,276.37,277.78,283.45
2015/7/25,288.4,20662200,258879,100390,52278304846,9.38,354706,4.64,1092.21,48.14,1.0984,7085,21076,280.52,278.05,283.7
2015/7/26,290.52,16032300,258879,92632,52278304846,10.02,433771,4.62,1099,47.39,1.1088,8297,15592,284.34,279.23,283.38
2015/7/27,292.87,30592000,258879,115077,52278304846,9.64,532105,4.67,1096.92,47.39,1.1088,9446,30972,289.89,280.7,282.08
2015/7/28,294.53,25453600,258879,118214,52278304846,10.57,574468,4.88,1096.86,47.98,1.106,9259,33519,291.67,282.78,282.2
2015/7/29,291.85,24672600,270476,143048,52278304846,9.49,840224,4.92,1103.57,48.79,1.0984,8886,37726,293.58,285.09,282.69
2015/7/30,288.38,21635800,246547,122807,52278304846,10.65,777653,4.67,1095.66,48.52,1.0932,8411,33018,292.55,286.27,282.96
2015/7/31,285.91,23629100,271001,147352,52278304846,9.53,756097,4.62,1091.16,47.12,1.0984,7078,27789,290.58,287.59,283.65
2015/8/1,282.33,18995000,267062,147326,52278304846,9.36,729844,4.38,1091.16,48.8,1.0984,19155,26960,287.32,288.41,284.02
2015/8/2,280.9,17722200,260292,103449,52278304846,9.57,428182,4.08,1091.26,48.8,1.095,13380,24294,284.66,289.03,284.5
2015/8/3,282.44,21474100,247772,119687,52278304846,8.97,454973,4.18,1091.26,50.44,1.095,10226,35036,282.95,288.4,285.14
2015/8/4,283.35,21908700,260149,132411,52278304846,10.82,797580,4.3,1085.92,50.44,1.0881,8776,34486,281.81,287.57,285.3
2015/8/5,283.43,20128000,280613,133625,52278304846,10.86,800967,4.36,1086.35,59.41,1.0906,8297,31470,283.02,286.74,285.97
2015/8/6,280.2,18792100,257987,134695,52278304846,10.04,785167,4.2,1088.06,58.14,1.0925,7852,35658,282.78,285.44,286.31
2015/8/7,278.77,42484800,248898,111208,52278304846,10.11,498201,4.11,1091.76,51.65,1.0967,7736,47467,281.89,283.68,286.49
2015/8/8,270.35,58533000,251314,101351,52699842409,9.2,350409,4.03,1091.76,51.65,1.0967,6784,29031,280.01,282.56,285.86
2015/8/9,263.42,23789600,240857,90392,52699842409,10.27,368554,3.88,1094.2,45.94,1.1019,6776,27132,273.05,279.59,283.89
2015/8/10,264.9,20979400,253842,116674,52699842409,8.62,450406,3.93,1096.5,49.43,1.1019,7722,27744,268.55,277.42,281.91
2015/8/11,267.3,25433900,236213,114579,52699842409,8.67,410415,4.05,1106.28,49.43,1.1042,7975,26653,263.52,275.52,279.83
