Date,Bitcoin_closeprice,3d MA,9d MA
2015/7/1,258.62,250.65,248.7
2015/7/2,255.41,253.43,249.99
2015/7/3,256.34,255.28,251.23
2015/7/4,260.89,254.47,252.99
2015/7/5,271.91,253.94,255
2015/7/6,269.03,255.47,258.14
2015/7/7,266.21,260.17,260.15
2015/7/8,270.79,263.71,262.06
2015/7/9,269.23,265.61,263.59
2015/7/10,284.89,265.44,264.27
2015/7/11,293.11,266.76,267.19
2015/7/12,310.87,273.14,271.38
2015/7/13,292.05,281.61,277.44
2015/7/14,287.46,285.68,280.9
2015/7/15,285.83,286.72,282.63
2015/7/16,278.09,284.34,284.49
2015/7/17,279.47,282.42,285.81
2015/7/18,274.9,277.55,286.78
2015/7/19,273.61,273.79,287.41
2015/7/20,278.98,272.88,286.15
2015/7/21,275.83,273.18,284.58
2015/7/22,277.22,273.63,280.69
2015/7/23,276.05,274.25,279.04
2015/7/24,288.28,275.17,277.78
2015/7/25,288.7,275.12,278.05
2015/7/26,292.69,278.99,279.23
2015/7/27,293.62,282.99,280.7
2015/7/28,294.43,287.05,282.78
2015/7/29,289.59,289.53,285.09
2015/7/30,287.72,289.88,286.27
2015/7/31,284.65,289.59,287.59
2015/8/1,281.6,285.9,288.41
2015/8/2,282.61,282.34,289.03
2015/8/3,281.23,279.33,288.4
2015/8/4,285.22,278.62,287.57
2015/8/5,281.88,279.66,286.74
2015/8/6,278.58,280.98,285.44
2015/8/7,279.58,280.37,283.68
2015/8/8,261,278.75,282.56
2015/8/9,265.08,271.83,279.59
2015/8/10,264.47,265.85,277.42
2015/8/11,270.39,261.26,275.52
2015/8/12,266.38,262.39,274.16
2015/8/13,264.08,264.05,272.51
2015/8/14,265.68,264.13,270.16
2015/8/15,261.55,263.26,268.36
2015/8/16,258.51,261.87,266.47
2015/8/17,257.98,259.94,264.13
2015/8/18,211.08,258.49,263.79
2015/8/19,226.68,241.75,257.79
2015/8/20,235.35,230.32,253.59
2015/8/21,232.57,220.25,249.7
2015/8/22,230.39,227.13,245.94
2015/8/23,228.17,227.11,242.2
2015/8/24,210.49,226.67,238.03
2015/8/25,221.61,219.57,232.36
2015/8/26,225.83,211.86,228.26
2015/8/27,224.77,210.07,224.69
2015/8/28,231.4,214.48,226.21
2015/8/29,229.78,221.6,226.73
2015/8/30,228.76,223.98,226.11
2015/8/31,230.06,224.84,225.69
2015/9/1,228.12,226.5,225.65
2015/9/2,229.28,226.34,225.65
2015/9/3,227.18,226.42,227.73
2015/9/4,230.3,226.67,228.35
2015/9/5,235.02,226.73,228.85
2015/9/6,239.84,227.72,229.99
2015/9/7,239.85,230.39,230.93
2015/9/8,243.61,234.28,232.05
2015/9/9,238.17,237.69,233.7
2015/9/10,238.48,238.74,234.6
2015/9/11,240.11,237.76,235.75
2015/9/12,235.23,237.31,236.95
2015/9/13,230.51,236.29,237.85
2015/9/14,230.64,234.14,237.87
2015/9/15,230.3,230.68,237.38
2015/9/16,229.09,229.04,236.32
