Date,Weighted_bitcoin_price,Volume,Num_bitcoin_address,bitcoin_transactions,mining_difficulty,Weighted_litecoin_price,Weighted_gold_price,usd/euro,Num_Wiki_view,Num_tweets
2015-07-01,260.73,27029800,267891.0,143977,49402014931,3.99,1173.51,1.1053,12957,29052.0
2015-07-02,257.43,21551900,276497.0,141999,49402014931,4.02,1167.64,1.1084,9802,27119.0
2015-07-03,255.6,19033800,267584.0,129558,49402014931,4.09,1167.45,1.1114,8307,25771.0
2015-07-04,258.26,15620400,251749.0,104430,49402014931,4.11,1167.45,1.1114,8947,23847.0
2015-07-05,266.48,44156100,272051.0,114942,49402014931,4.52,1170.43,1.1056,8692,24976.0
2015-07-06,271.29,49154800,287795.0,173889,49402014931,5.18,1170.43,1.1056,10263,36903.0
2015-07-07,268.08,28857600,283673.0,190613,49402014931,5.26,1163.54,1.1011,11220,29915.0
2015-07-08,268.53,36980200,286530.0,201586,49402014931,5.78,1156.11,1.1077,11147,36474.0
2015-07-09,269.87,40301200,283452.0,191030,49402014931,6.93,1160.57,1.1036,9613,30281.0
2015-07-10,279.36,100390000,289735.0,192866,49402014931,6.21,1161.53,1.1162,8269,29616.0
2015-07-11,290.01,41109900,287238.0,186052,49650905000,4.34,1161.53,1.1162,6960,24645.0
2015-07-12,302.73,56405000,284313.0,208550,51076366303,4.85,1159.12,1.1002,7266,26775.0
2015-07-13,298.71,62053900,254591.0,159547,51076366303,4.9,1159.12,1.1002,8912,42326.0
2015-07-14,290.57,28727200,255129.0,122474,51076366303,4.68,1156.53,1.1009,7770,50267.0
2015-07-15,288.12,27486600,231269.0,115417,51076366303,4.43,1151.64,1.095,7408,38595.0
2015-07-16,282.64,49482600,243088.0,114253,51076366303,3.86,1144.5,1.0875,7666,35125.0
2015-07-17,277.47,27591400,222743.0,116759,51076366303,3.75,1139.03,1.083,7071,29831.0
2015-07-18,277.71,25187100,230088.0,130546,51076366303,3.95,1139.03,1.083,6207,25985.0
2015-07-19,274.14,15332500,263213.0,120735,51076366303,3.88,1115.75,1.0825,9122,25071.0
2015-07-20,276.1,22711400,248768.0,125102,51076366303,3.84,1115.75,1.0825,8820,36888.0
2015-07-21,277.67,22930700,236628.0,133658,51076366303,3.87,1101.83,1.0935,8484,30095.0
2015-07-22,276.23,19389800,236628.0,131105,51076366303,3.78,1096.74,1.0929,8727,44651.0
2015-07-23,276.8,18531300,236628.0,109480,51076366303,3.8,1094.73,1.0984,9252,33408.0
2015-07-24,282.2,37199400,236628.0,109749,51076366303,4.22,1092.21,1.0984,7723,28664.0
2015-07-25,288.4,20662200,258879.0,100390,51607092413,4.64,1092.21,1.0984,7085,21076.0
2015-07-26,290.52,16032300,258879.0,92632,52278304846,4.62,1099.0,1.1088,8297,15592.0
2015-07-27,292.87,30592000,258879.0,115077,52278304846,4.67,1096.92,1.1088,9446,30972.0
2015-07-28,294.53,25453600,258879.0,118214,52278304846,4.88,1096.86,1.1059999999999999,9259,33519.0
2015-07-29,291.85,24672600,270476.0,143048,52278304846,4.92,1103.57,1.0984,8886,37726.0
2015-07-30,288.38,21635800,246547.0,122807,52278304846,4.67,1095.66,1.0932,8411,33018.0
2015-07-31,285.91,23629100,271001.0,147352,52278304846,4.62,1091.16,1.0984,7078,27789.0
2015-08-01,282.33,18995000,267062.0,147326,52278304846,4.38,1091.16,1.0984,19155,26960.0
2015-08-02,280.9,17722200,260292.0,103449,52278304846,4.08,1091.26,1.095,13380,24294.0
2015-08-03,282.44,21474100,247772.0,119687,52278304846,4.18,1091.26,1.095,10226,35036.0
2015-08-04,283.35,21908700,260149.0,132411,52278304846,4.3,1085.92,1.0881,8776,34486.0
2015-08-05,283.43,20128000,280613.0,133625,52278304846,4.36,1086.35,1.0906,8297,31470.0
2015-08-06,280.2,18792100,257987.0,134695,52278304846,4.2,1088.06,1.0925,7852,35658.0
2015-08-07,278.77,42484800,248898.0,111208,52278304846,4.11,1091.76,1.0967,7736,47467.0
2015-08-08,270.35,58533000,251314.0,101351,52516565208,4.03,1091.76,1.0967,6784,29031.0
2015-08-09,263.42,23789600,240857.0,90392,52699842409,3.88,1094.2,1.1019,6776,27132.0
2015-08-10,264.9,20979400,253842.0,116674,52699842409,3.93,1096.5,1.1019,7722,27744.0
2015-08-11,267.3,25433900,236213.0,114579,52699842409,4.05,1106.28,1.1042,7975,26653.0
2015-08-12,268.28,26815400,246215.0,117772,52699842409,4.06,1116.29,1.1159,8033,29241.0
2015-08-13,264.83,27685500,237969.0,117360,52699842409,3.92,1120.14,1.115,9529,31087.0
2015-08-14,264.69,27091200,236280.0,111113,52699842409,3.96,1115.5,1.1109,7164,30737.0
2015-08-15,263.76,19321100,236800.0,94807,52699842409,3.98,1115.5,1.1109,6294,28722.0
2015-08-16,259.96,29717000,246539.0,89360,52699842409,3.94,1116.38,1.1078,6528,24050.0
2015-08-17,258.52,21617900,245985.0,114902,52699842409,3.98,1116.38,1.1078,7516,37040.0
2015-08-18,234.52,42147200,267354.0,119657,52699842409,3.72,1117.02,1.1024,11266,28767.0
2015-08-19,228.13,60869200,259630.0,119995,52699842409,3.48,1127.82,1.112,11741,28539.0
2015-08-20,231.63,32275000,239574.0,118080,52699842409,3.54,1148.15,1.1242,10337,36462.0
