,Date,Average Sentiment
8,2015/10/21,0.7
9,2015/11/18,0.94
10,2015/12/4,-0.74
11,2015/12/6,0.51
12,2015/12/7,-0.88
13,2015/12/9,0.25
1,2015/7/12,0.45
0,2015/7/6,-0.57
2,2015/8/1,-0.84
3,2015/8/31,-0.85
5,2015/9/16,0.74
6,2015/9/21,-0.53
7,2015/9/25,0.82
4,2015/9/9,0.23
14,2016/1/17,-0.45
58,2016/10/18,0.66
59,2016/10/19,0.27
60,2016/10/21,0.0
54,2016/10/3,0.23
55,2016/10/5,0.59
56,2016/10/6,-0.71
57,2016/10/7,0.74
61,2016/11/1,-0.05
64,2016/11/14,0.59
65,2016/11/16,-0.27
66,2016/11/21,0.32
62,2016/11/5,-0.32
63,2016/11/8,0.44
67,2016/12/1,0.4
71,2016/12/12,0.0
72,2016/12/23,0.38
73,2016/12/30,-0.01
68,2016/12/5,0.0
69,2016/12/6,0.27
70,2016/12/7,0.03
16,2016/2/16,0.0
17,2016/2/22,-0.03
18,2016/2/25,-0.61
15,2016/2/3,0.0
19,2016/3/17,0.64
20,2016/3/29,0.51
21,2016/4/19,0.05
22,2016/4/28,0.53
26,2016/5/17,0.0
23,2016/5/2,0.0
27,2016/5/22,-0.64
24,2016/5/3,0.0
28,2016/5/30,0.0
25,2016/5/5,0.0
31,2016/6/16,0.0
32,2016/6/17,0.57
33,2016/6/20,0.34
34,2016/6/21,-0.32
35,2016/6/23,0.0
36,2016/6/24,0.23
29,2016/6/8,-0.26
30,2016/6/9,-0.44
39,2016/7/10,-0.3
40,2016/7/12,0.76
41,2016/7/14,0.4
42,2016/7/19,0.38
43,2016/7/20,0.03
44,2016/7/21,-0.69
37,2016/7/5,-0.72
38,2016/7/7,0.0
47,2016/8/19,-0.25
48,2016/8/24,0.0
45,2016/8/4,0.0
46,2016/8/7,-0.59
50,2016/9/15,0.0
51,2016/9/20,-0.27
52,2016/9/27,0.0
53,2016/9/28,-0.3
49,2016/9/7,0.38
77,2017/1/10,-0.88
78,2017/1/11,-0.38
79,2017/1/13,0.0
80,2017/1/19,-0.56
81,2017/1/20,0.51
82,2017/1/23,-0.3
74,2017/1/3,0.67
83,2017/1/30,0.18
75,2017/1/5,-0.19
76,2017/1/8,0.38
147,2017/10/11,0.2
148,2017/10/12,0.81
149,2017/10/19,-0.15
144,2017/10/2,0.28
150,2017/10/21,0.27
151,2017/10/25,0.14
152,2017/10/27,0.42
153,2017/10/31,0.32
145,2017/10/4,0.0
146,2017/10/8,-0.38
154,2017/11/1,0.34
161,2017/11/10,0.0
162,2017/11/13,-0.38
163,2017/11/15,-0.05
164,2017/11/17,-0.4
165,2017/11/19,-0.57
155,2017/11/2,0.67
166,2017/11/20,-0.4
167,2017/11/21,-0.01
168,2017/11/27,0.0
169,2017/11/29,0.17
156,2017/11/3,-0.82
170,2017/11/30,0.53
157,2017/11/5,0.38
158,2017/11/7,-0.3
159,2017/11/8,-0.78
160,2017/11/9,0.59
171,2017/12/1,0.11
180,2017/12/10,-0.09
181,2017/12/11,0.36
182,2017/12/12,0.04
183,2017/12/13,0.16
184,2017/12/14,0.19
185,2017/12/15,0.64
186,2017/12/16,-0.78
187,2017/12/17,0.13
188,2017/12/18,0.0
189,2017/12/19,0.06
172,2017/12/2,0.15
190,2017/12/20,-0.25
191,2017/12/21,0.2
192,2017/12/22,0.37
193,2017/12/23,0.4
194,2017/12/25,0.76
173,2017/12/3,0.39
195,2017/12/31,0.08
174,2017/12/4,-0.17
175,2017/12/5,-0.06
176,2017/12/6,0.3
177,2017/12/7,0.06
178,2017/12/8,0.53
179,2017/12/9,-0.74
87,2017/2/24,0.71
88,2017/2/28,-0.52
84,2017/2/5,0.1
85,2017/2/8,0.38
86,2017/2/9,-0.49
91,2017/3/10,-0.85
92,2017/3/15,-0.42
93,2017/3/17,0.0
94,2017/3/19,-0.74
95,2017/3/22,-0.54
96,2017/3/28,-0.18
89,2017/3/6,0.61
90,2017/3/8,0.48
99,2017/4/10,0.0
100,2017/4/12,0.23
101,2017/4/17,0.66
102,2017/4/18,-0.82
103,2017/4/26,-0.2
97,2017/4/4,-0.23
98,2017/4/9,0.36
105,2017/5/16,0.42
106,2017/5/17,0.0
107,2017/5/22,0.05
108,2017/5/23,0.4
109,2017/5/26,0.3
104,2017/5/8,-0.68
110,2017/6/2,0.86
113,2017/6/20,-0.68
114,2017/6/23,-0.4
115,2017/6/29,0.32
111,2017/6/5,0.0
112,2017/6/6,-0.55
116,2017/7/1,0.34
120,2017/7/12,-0.72
121,2017/7/16,0.0
117,2017/7/2,0.36
122,2017/7/24,0.96
123,2017/7/28,0.42
124,2017/7/31,-0.6
118,2017/7/7,0.6
119,2017/7/9,0.67
125,2017/8/1,0.25
128,2017/8/10,0.7
129,2017/8/13,0.0
126,2017/8/2,0.49
130,2017/8/25,0.38
131,2017/8/27,0.59
132,2017/8/29,0.15
133,2017/8/31,-0.89
127,2017/8/4,0.08
135,2017/9/11,0.25
136,2017/9/14,-0.36
137,2017/9/18,0.53
138,2017/9/19,0.65
139,2017/9/20,0.2
140,2017/9/21,-0.67
141,2017/9/22,0.09
142,2017/9/29,0.25
143,2017/9/30,0.0
134,2017/9/4,-0.06
203,2018/1/10,0.64
204,2018/1/11,0.11
205,2018/1/12,0.08
206,2018/1/15,0.0
207,2018/1/16,0.0
208,2018/1/17,0.31
209,2018/1/19,-0.33
196,2018/1/2,0.21
210,2018/1/22,-0.15
211,2018/1/23,0.42
